Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
IM0,9.9816962,12.6981348,0.0564065,0.0139712,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.3183144661529345,0.40494119626682284,Excluded,Excluded
IM1,5.7623347,7.2509463,0.0391907,0.0117513,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.5574444814189287,0.7014517917537834,Excluded,Excluded
IM2,4.487121,6.1585305,0.0253111,0.0095118,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.6563254010027229,0.9008003127172188,Excluded,Excluded
IM3,3.5811848,5.2624757,0.0159572,0.0075886,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.7680795561678317,1.1286767440764296,Excluded,Included
IM4,3.1822331,5.058015,0.0103541,0.0061301,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.7991277210526263,1.2701772224039778,Excluded,Included
IM5,2.9188396,4.4229493,0.0049477,0.0042491,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.9138698469819674,1.384796889832521,Excluded,Included
IM6,4.8895191,7.1759573,0.0014894,0.0023354,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.5632697953762907,0.82666616436778,Excluded,Excluded
IM7,4.4875714,5.3070405,0.0007977,0.0017097,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.7616297633304286,0.9007099029109598,Excluded,Excluded
IM8,6.3675397,6.8291346,0.0003133,0.0010718,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.5918758725300275,0.6347820650415419,Excluded,Excluded
IM9,6.9145379,6.5440961,0.0001827,0.0008186,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.6176559662685882,0.5845654559215012,Excluded,Excluded
IM10,7.9801953,12.2801997,0.0001174,0.0006561,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.32914774179120226,0.5065038947104464,Excluded,Excluded
IM11,8.9247838,7.9302216,6.36e-05,0.0004829,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.5096957189695682,0.45289612505795374,Excluded,Excluded
IM12,-1.0,-1.0,0.0,0.0,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,-4.042,-4.042,Excluded,Excluded
EM0,21.2960816,23.8411268,0.0172158,0.0078771,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.16953896658944825,0.18980017431939214,Excluded,Excluded
EM1,9.2285189,8.9217926,0.0138797,0.0070848,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.4530479670643767,0.4379901091170762,Excluded,Excluded
EM2,5.3335798,5.2913405,0.0093539,0.0058295,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.7638896041560735,0.7578399783200018,Excluded,Excluded
EM3,4.1397917,5.0243213,0.0056031,0.0045203,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.8044867671977903,0.9763776278888621,Excluded,Excluded
EM4,3.2340657,4.5810608,0.0054064,0.0044407,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.8823283899659222,1.249820002110656,Excluded,Included
EM5,1.7767634,2.1564175,0.0034582,0.0035551,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,1.8744051186748392,2.274923042651599,Included,Included
EM6,4.2362716,5.8172513,0.0006917,0.0015922,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.6948298760962931,0.9541409006920141,Excluded,Excluded
EM7,2.9771548,4.3333168,0.0004844,0.0013325,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.9327727896561819,1.3576720968624136,Excluded,Included
EM8,6.1996766,7.1391334,0.0001306,0.000692,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.5661751606994765,0.6519694914408922,Excluded,Excluded
EM9,7.4622615,6.3919992,6.54e-05,0.0004896,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.6323530203195269,0.5416588523465707,Excluded,Excluded
EM10,5.8224384,12.4143593,5.38e-05,0.0004442,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,0.3255907052730462,0.6942108653309238,Excluded,Excluded
EM11,3.4331638,3.8809258,6.36e-05,0.0004829,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,1.0415040658597492,1.1773396888316252,Included,Included
EM12,-1.0,-1.0,0.0,0.0,3.157919,pptt1jmatch_run_01_356_300,356.0,300.0,4.042,1.2799568323316715,-4.042,-4.042,Excluded,Excluded
