Mediator Mass (GeV),DM Mass (GeV),xsecUL
1004.1,349.1,1.14643701675
1202.6,151.0,0.69660540552
1755.0,750.4,0.38175428838659997
1753.5,451.5,0.3701041761456
305.1,100.6,17.110359869600003
204.6,1.9,26.174089855000002
1752.7,500.4,0.37992467596949997
1506.4,700.7,0.45296734041119996
2247.4,202.2,0.23568793773944996
705.1,300.9,2.7568103300100004
2004.0,700.7,0.30370538687399995
1751.7,401.0,0.3674061190799999
1996.5,50.9,0.27476388110304
1502.6,301.6,0.47920779419099996
502.9,246.1,3.0716571323136
2002.1,501.2,0.29558274527499995
1755.4,650.3,0.39032400933399997
1756.3,601.3,0.37616248844159994
1500.2,50.9,0.45265049463480006
1498.4,1.9,0.45583920721080007
1503.6,401.0,0.45127030869199997
1997.5,151.8,0.28812840467886
2248.3,152.5,0.23025927126527998
2251.9,251.2,0.23323222292760004
1201.2,2.6,0.7046045504256001
1749.7,51.6,0.34389332929599997
504.5,1.9,5.9393857136
2001.2,400.3,0.29096750043
203.8,50.9,21.0352006446
1202.2,250.4,0.7532216462351999
2003.6,651.8,0.30171893533856003
1202.1,101.3,0.719770467606
504.6,151.8,5.6032225477200015
1500.7,102.0,0.45899714497
704.0,50.1,2.6473778133599994
504.2,101.3,5.1614249634
1750.6,151.0,0.36109593080239993
403.3,100.6,10.6319699421
1505.8,501.2,0.49735348528799994
205.5,94.7,43.834525097400004
1999.6,102.0,0.27367417558184
1004.0,201.5,1.10670474504
704.6,251.2,2.53655356845
1205.1,551.6,0.7081137515524799
706.9,345.5,1.56922110175006
1501.2,151.0,0.4377805566976001
2002.6,550.1,0.28635216423255
1750.6,2.6,0.344214978712
2253.9,602.0,0.24715286735394998
56.2,20.9,1736.4407086200001
2003.1,601.3,0.2888815591619999
402.9,195.6,7.020904498125
1205.0,400.3,0.7347647069419999
2002.0,351.3,0.28796426747336
2247.3,52.3,0.23362663717007998
2248.2,3.4,0.23240547500819997
502.3,50.9,5.8496994227000005
1001.3,51.6,1.1245341103360003
1752.1,300.9,0.3650098940865
1749.8,200.7,0.3541524897008
704.2,201.5,2.610099770608
2255.8,801.6,0.2583900382518
1503.1,351.3,0.47062770051439995
1756.9,800.9,0.37422836587079994
1504.0,450.0,0.466224626392
2253.4,551.6,0.24228716911118997
1506.9,746.8,0.10667466731789998
1996.0,2.6,0.26624410957115996
54.7,1.9,1329.2463421500001
1998.9,300.9,0.27917989441056
2250.6,400.3,0.24702151518408
2249.8,450.7,0.2450476060538
1001.8,100.6,1.09135269117
1006.8,494.6,0.5826295961646
505.1,202.2,5.8586561459999995
1999.7,251.2,0.28345792124950003
1206.8,450.0,0.7410001602744001
1004.6,401.8,1.159490659488
304.6,51.6,12.979464431
403.7,1.9,10.719498443280001
2001.7,451.5,0.28991562415136996
1754.5,550.9,0.372831870528
1002.2,151.8,1.1195222966699998
1201.7,50.9,0.6976658707526
703.7,151.0,2.556063505287
2251.5,349.9,0.2435055382368
1202.7,300.1,0.745172531168
1757.2,701.5,0.372567833715
1004.5,251.2,1.122312408444
2000.6,202.2,0.2724106407192
1003.5,2.6,1.0448526227619999
1750.3,251.9,0.3681270948096
1501.7,201.5,0.4630170609548
306.9,145.9,19.7759878272
1506.0,651.0,0.47342823841040005
1752.5,349.9,0.36616269162000004
1506.3,548.7,0.4888807727085
1206.9,595.5,0.27886268142756004
1206.0,501.2,0.741842931528
304.2,1.9,14.289992145000001
2253.5,700.7,0.25954312981375993
1005.1,452.2,1.1076994827
2255.3,750.4,0.25639379307456
1203.2,350.6,0.7572363414
405.1,151.0,9.77505470976
1505.5,601.3,0.481284775672
404.1,50.1,10.193554063
1502.1,250.4,0.469318849389
1750.2,102.0,0.3535963407921
703.6,1.9,2.3533770445920004
1003.7,300.9,1.1255005446300002
2252.9,500.4,0.25220610589515
703.2,101.3,2.521968559512
2004.5,751.9,0.30720680834844
2006.3,800.9,0.30268578429408
1203.1,200.0,0.7324844494154
2247.8,101.3,0.23452339193712002
2251.7,651.8,0.260053413289
2249.7,301.6,0.23578311102336003
