Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]"
Run 1,16.75,1004.1,38.99777,349.1,1.0,0.25,0.2534963,0.1280623,0.1280623,0.1280623,0.1280623,0.1280623,0.1061924
Run 2,7.7172,1202.6,64.09883,151.0,1.0,0.25,0.451333,0.09331367,0.09331367,0.09331367,0.09331367,0.09331367,0.08209866
Run 3,1.3066,1755.0,58.35835,750.4,1.0,0.25,0.1110927,0.1495739,0.1495739,0.1495739,0.1495739,0.1495739,0.1410377
Run 4,5970200.0,15.8,0.3934857,100.6,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 5,4578100.0,17.7,0.4412471,301.6,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 6,1.3138,1753.5,81.13004,451.5,1.0,0.25,0.3611604,0.1074975,0.1074975,0.1074975,0.1074975,0.1074975,0.101352
Run 7,1371.4,305.1,11.02659,100.6,1.0,0.25,0.3119141,0.1376172,0.1376172,0.1376172,0.1376172,0.1376172,
Run 8,1357.6,306.1,7.61121,201.5,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 9,68.163,707.0,19.92497,355.7,1.0,0.25,,0.1764672,0.1764672,0.1764672,0.1764672,0.1764672,0.1176641
Run 10,5072.5,204.6,10.51421,1.9,1.0,0.25,0.5159998,0.09680005,0.09680005,0.09680005,0.09680005,0.09680005,
Run 11,237.09,506.1,13.57745,300.1,1.0,0.25,,0.1853734,0.1853734,0.1853734,0.1853734,0.1853734,0.07313289
Run 12,1.3163,1752.7,77.52181,500.4,1.0,0.25,0.3317595,0.1124459,0.1124459,0.1124459,0.1124459,0.1124459,0.1060112
Run 13,2.7592,1506.4,46.34699,700.7,1.0,0.25,0.0425301,0.161658,0.161658,0.161658,0.161658,0.161658,0.1491797
Run 14,0.34873,2247.4,123.4191,202.2,1.0,0.25,0.4597595,0.09056743,0.09056743,0.09056743,0.09056743,0.09056743,0.08740333
Run 15,68.935,705.1,22.5154,300.9,1.0,0.25,0.1176219,0.1557556,0.1557556,0.1557556,0.1557556,0.1557556,0.1036001
Run 16,0.6555,2004.0,78.78193,700.7,1.0,0.25,0.2464461,0.1265174,0.1265174,0.1265174,0.1265174,0.1265174,0.120967
Run 17,1.3195,1751.7,84.4234,401.0,1.0,0.25,0.386727,0.1031975,0.1031975,0.1031975,0.1031975,0.1031975,0.09728568
Run 18,0.66988,1996.5,111.8926,50.9,1.0,0.25,0.4714584,0.088744,0.088744,0.088744,0.088744,0.088744,0.08482158
Run 19,2.7901,1502.6,74.88292,301.6,1.0,0.25,0.4089355,0.09980112,0.09980112,0.09980112,0.09980112,0.09980112,0.09205885
Run 20,4862.3,207.5,5.160087,301.6,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 21,242.24,502.9,13.59279,246.1,1.0,0.25,0.008567718,0.184004,0.184004,0.184004,0.184004,0.184004,0.07141252
Run 22,0.65938,2002.1,93.76008,501.2,1.0,0.25,0.3674375,0.1062051,0.1062051,0.1062051,0.1062051,0.1062051,0.1015371
Run 23,1.3043,1755.4,65.99269,650.3,1.0,0.25,0.2137567,0.1322984,0.1322984,0.1322984,0.1322984,0.1322984,0.1247512
Run 24,1.3028,1756.3,69.94347,601.3,1.0,0.25,0.2577981,0.1248866,0.1248866,0.1248866,0.1248866,0.1248866,0.1177691
Run 25,2.8199,1500.2,83.70857,50.9,1.0,0.25,0.4721178,0.08913648,0.08913648,0.08913648,0.08913648,0.08913648,0.08219975
Run 26,2.8294,1498.4,83.88062,1.9,1.0,0.25,0.4738473,0.08884722,0.08884722,0.08884722,0.08884722,0.08884722,0.08191665
Run 27,2.7812,1503.6,68.4252,401.0,1.0,0.25,0.3527335,0.109289,0.109289,0.109289,0.109289,0.109289,0.1008213
Run 28,0.66813,1997.5,110.3291,151.8,1.0,0.25,0.4637054,0.09004511,0.09004511,0.09004511,0.09004511,0.09004511,0.08606899
Run 29,0.34864,2248.3,124.7004,152.5,1.0,0.25,0.4651056,0.0896708,0.0896708,0.0896708,0.0896708,0.0896708,0.08654038
Run 30,0.34554,2251.9,122.1394,251.2,1.0,0.25,0.453006,0.09169749,0.09169749,0.09169749,0.09169749,0.09169749,0.08850648
Run 31,7.7968,1201.2,66.9875,2.6,1.0,0.25,0.4756368,0.08918446,0.08918446,0.08918446,0.08918446,0.08918446,0.07844095
Run 32,1.3256,1749.7,97.88412,51.6,1.0,0.25,0.4716812,0.08890389,0.08890389,0.08890389,0.08890389,0.08890389,0.08379933
Run 33,7.5897,1208.3,35.34329,751.2,1.0,0.25,,0.1700412,0.1700412,0.1700412,0.1700412,0.1700412,0.149794
Run 34,237.24,505.6,13.56386,255.6,1.0,0.25,,0.1854029,0.1854029,0.1854029,0.1854029,0.1854029,0.07298565
Run 35,238.88,504.5,26.91083,1.9,1.0,0.25,0.4972694,0.09324595,0.09324595,0.09324595,0.09324595,0.09324595,0.03650091
Run 36,0.66025,2001.2,100.1437,400.3,1.0,0.25,0.408049,0.09938726,0.09938726,0.09938726,0.09938726,0.09938726,0.09501472
Run 37,236.15,506.5,13.59281,350.6,1.0,0.25,,0.1853402,0.1853402,0.1853402,0.1853402,0.1853402,0.07329901
Run 38,5135.7,203.8,8.583017,50.9,1.0,0.25,0.4095878,0.1180824,0.1180824,0.1180824,0.1180824,0.1180824,
Run 39,1365.3,305.6,7.600442,156.1,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 40,7.7438,1202.2,59.11612,250.4,1.0,0.25,0.4052821,0.101147,0.101147,0.101147,0.101147,0.101147,0.08898303
Run 41,0.65708,2003.6,82.62967,651.8,1.0,0.25,0.2817064,0.1205978,0.1205978,0.1205978,0.1205978,0.1205978,0.1153047
Run 42,7.7417,1202.1,65.69281,101.3,1.0,0.25,0.4648659,0.09101353,0.09101353,0.09101353,0.09101353,0.09101353,0.0800665
