Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]"
Run 43,238.74,504.6,20.35797,151.8,1.0,0.25,0.3352854,0.1232857,0.1232857,0.1232857,0.1232857,0.1232857,0.04828602
Run 44,2.809,1500.7,82.91134,102.0,1.0,0.25,0.4668638,0.0900229,0.0900229,0.0900229,0.0900229,0.0900229,0.08302169
Run 45,16.559,1007.0,29.1984,505.6,1.0,0.25,,0.1715222,0.1715222,0.1715222,0.1715222,0.1715222,0.1423892
Run 46,69.335,704.0,37.94322,50.1,1.0,0.25,0.4772802,0.09228485,0.09228485,0.09228485,0.09228485,0.09228485,0.06129551
Run 47,239.13,504.2,23.78406,101.3,1.0,0.25,0.4316836,0.1054256,0.1054256,0.1054256,0.1054256,0.1054256,0.04118816
Run 48,1.3256,1750.6,96.12197,151.0,1.0,0.25,0.4616981,0.09058287,0.09058287,0.09058287,0.09058287,0.09058287,0.0853875
Run 49,527.54,403.3,17.27928,100.6,1.0,0.25,0.4030773,0.1160831,0.1160831,0.1160831,0.1160831,0.1160831,0.01650739
Run 50,7.642,1205.6,35.26066,605.7,1.0,0.25,,0.1700564,0.1700564,0.1700564,0.1700564,0.1700564,0.149718
Run 51,2.767,1505.8,60.9603,501.2,1.0,0.25,0.2723404,0.1228584,0.1228584,0.1228584,0.1228584,0.1228584,0.1133677
Run 52,204700.0,59.5,1.478454,500.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 53,5004.2,205.5,5.427911,94.7,1.0,0.25,0.05839698,0.1883206,0.1883206,0.1883206,0.1883206,0.1883206,
Run 54,0.66379,1999.6,111.45,102.0,1.0,0.25,0.4685117,0.0892367,0.0892367,0.0892367,0.0892367,0.0892367,0.08530479
Run 55,16.755,1004.0,49.57547,201.5,1.0,0.25,0.4128263,0.1007298,0.1007298,0.1007298,0.1007298,0.1007298,0.08352485
Run 56,3605200.0,19.7,0.4886614,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 57,68.995,704.6,26.29768,251.2,1.0,0.25,0.2450954,0.1332641,0.1332641,0.1332641,0.1332641,0.1332641,0.08858403
Run 58,7.6427,1205.1,37.32841,551.6,1.0,0.25,0.05581464,0.1605675,0.1605675,0.1605675,0.1605675,0.1605675,0.1413478
Run 59,68.297,706.9,20.09817,345.5,1.0,0.25,0.008769629,0.1749223,0.1749223,0.1749223,0.1749223,0.1749223,0.1166189
Run 60,522.23,404.7,10.35937,251.2,1.0,0.25,,0.1943157,0.1943157,0.1943157,0.1943157,0.1943157,0.02842157
Run 61,2.8088,1501.2,81.64369,151.0,1.0,0.25,0.4584128,0.09144916,0.09144916,0.09144916,0.09144916,0.09144916,0.0843414
Run 62,0.65715,2002.6,90.30903,550.1,1.0,0.25,0.3431091,0.1102894,0.1102894,0.1102894,0.1102894,0.1102894,0.1054441
Run 63,1.3232,1750.6,98.1742,2.6,1.0,0.25,0.4729787,0.08868472,0.08868472,0.08868472,0.08868472,0.08868472,0.08359769
Run 64,68.243,707.0,19.92672,500.4,1.0,0.25,,0.1764657,0.1764657,0.1764657,0.1764657,0.1764657,0.1176717
Run 65,0.34379,2253.9,102.9861,602.0,1.0,0.25,0.3506861,0.1088492,0.1088492,0.1088492,0.1088492,0.1088492,0.105068
Run 66,16.508,1007.9,29.22643,601.3,1.0,0.25,,0.1715134,0.1715134,0.1715134,0.1715134,0.1715134,0.1424331
Run 67,239810.0,56.2,1.842147,20.9,1.0,0.25,0.2413634,0.1517273,0.1517273,0.1517273,0.1517273,0.1517273,
Run 68,0.65691,2003.1,86.51261,601.3,1.0,0.25,0.314113,0.1151573,0.1151573,0.1151573,0.1151573,0.1151573,0.1101006
Run 69,530.95,402.9,10.44672,195.6,1.0,0.25,0.01391925,0.1918065,0.1918065,0.1918065,0.1918065,0.1918065,0.02704839
Run 70,7.6436,1205.0,48.58538,400.3,1.0,0.25,0.2746517,0.1233527,0.1233527,0.1233527,0.1233527,0.1233527,0.1085847
Run 71,0.65918,2002.0,102.9847,351.3,1.0,0.25,0.4241284,0.09668695,0.09668695,0.09668695,0.09668695,0.09668695,0.09243683
Run 72,0.34914,2247.3,126.0908,52.3,1.0,0.25,0.4712316,0.08864426,0.08864426,0.08864426,0.08864426,0.08864426,0.08554706
Run 73,0.34918,2248.2,126.3325,3.4,1.0,0.25,0.472039,0.08850851,0.08850851,0.08850851,0.08850851,0.08850851,0.0854184
Run 74,242.83,502.3,25.97264,50.9,1.0,0.25,0.4817938,0.09619557,0.09619557,0.09619557,0.09619557,0.09619557,0.03722835
Run 75,16.952,1001.3,55.16267,51.6,1.0,0.25,0.4738312,0.0902785,0.0902785,0.0902785,0.0902785,0.0902785,0.07477629
Run 76,1.3169,1752.1,90.28526,300.9,1.0,0.25,0.4264209,0.09651765,0.09651765,0.09651765,0.09651765,0.09651765,0.09099084
Run 77,1.3256,1749.8,94.51549,200.7,1.0,0.25,0.4528202,0.09207767,0.09207767,0.09207767,0.09207767,0.09207767,0.08679147
Run 78,69.416,704.2,30.14002,201.5,1.0,0.25,0.3418258,0.1161968,0.1161968,0.1161968,0.1161968,0.1161968,0.07719006
Run 79,0.3423,2255.8,87.75985,801.6,1.0,0.25,0.2373787,0.1278425,0.1278425,0.1278425,0.1278425,0.1278425,0.123409
Run 80,2.7889,1503.1,71.8194,351.3,1.0,0.25,0.3835234,0.1040911,0.1040911,0.1040911,0.1040911,0.1040911,0.09602107
Run 81,1.2985,1756.9,55.16082,800.9,1.0,0.25,0.05857734,0.1584074,0.1584074,0.1584074,0.1584074,0.1584074,0.1493855
Run 82,2.779,1504.0,64.82249,450.0,1.0,0.25,0.3165416,0.115399,0.115399,0.115399,0.115399,0.115399,0.1064633
Run 83,0.34447,2253.4,106.4836,551.6,1.0,0.25,0.3721493,0.1052514,0.1052514,0.1052514,0.1052514,0.1052514,0.1015937
Run 84,2.7537,1506.9,44.48228,746.8,1.0,0.25,0.002093982,0.168484,0.168484,0.168484,0.168484,0.168484,0.1554862
Run 85,0.67091,1996.0,112.0722,2.6,1.0,0.25,0.4724289,0.08858135,0.08858135,0.08858135,0.08858135,0.08858135,0.08466432
Run 86,3703400.0,19.4,0.4831036,200.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 87,258450.0,54.7,2.800179,1.9,1.0,0.25,0.5143147,0.09713706,0.09713706,0.09713706,0.09713706,0.09713706,
Run 88,0.66531,1998.9,105.192,300.9,1.0,0.25,0.4371081,0.09450988,0.09450988,0.09450988,0.09450988,0.09450988,0.09034251
Run 89,0.34643,2250.6,115.5081,400.3,1.0,0.25,0.4219224,0.09690894,0.09690894,0.09690894,0.09690894,0.09690894,0.09353291
Run 90,0.34763,2249.8,112.6464,450.7,1.0,0.25,0.407462,0.09933351,0.09933351,0.09933351,0.09933351,0.09933351,0.09587043
Run 91,16.857,1001.8,54.02057,100.6,1.0,0.25,0.4624415,0.09223026,0.09223026,0.09223026,0.09223026,0.09223026,0.07640723
Run 92,16.54,1006.8,29.36851,494.6,1.0,0.25,0.005900417,0.1705111,0.1705111,0.1705111,0.1705111,0.1705111,0.1415441
Run 93,238.5,505.1,16.43053,202.2,1.0,0.25,0.1754614,0.1529009,0.1529009,0.1529009,0.1529009,0.1529009,0.06003389
Run 94,0.66581,1999.7,107.3414,251.2,1.0,0.25,0.448141,0.09265687,0.09265687,0.09265687,0.09265687,0.09265687,0.08857466
Run 95,7.6182,1206.8,44.7608,450.0,1.0,0.25,0.2114502,0.1340928,0.1340928,0.1340928,0.1340928,0.1340928,0.1180858
Run 96,16.712,1004.6,34.89114,401.8,1.0,0.25,0.1651922,0.1432067,0.1432067,0.1432067,0.1432067,0.1432067,0.1187743
Run 97,1379.5,304.6,14.3055,51.6,1.0,0.25,0.4704409,0.1059118,0.1059118,0.1059118,0.1059118,0.1059118,
Run 98,526.46,403.7,21.03294,1.9,1.0,0.25,0.5090367,0.09545708,0.09545708,0.09545708,0.09545708,0.09545708,0.01367787
Run 99,0.65961,2001.7,97.03935,451.5,1.0,0.25,0.3889609,0.1025917,0.1025917,0.1025917,0.1025917,0.1025917,0.0980804
Run 100,2.7575,1507.0,44.39189,756.3,1.0,0.25,,0.1688372,0.1688372,0.1688372,0.1688372,0.1688372,0.1558138
Run 101,1.3065,1754.5,73.79328,550.9,1.0,0.25,0.2972572,0.1182493,0.1182493,0.1182493,0.1182493,0.1182493,0.1114963
Run 102,16.886,1002.2,52.06774,151.8,1.0,0.25,0.4419923,0.09573611,0.09573611,0.09573611,0.09573611,0.09573611,0.07932713
Run 103,7.7639,1201.7,66.67244,50.9,1.0,0.25,0.4729486,0.08964028,0.08964028,0.08964028,0.08964028,0.08964028,0.07884996
Run 104,4992.8,205.6,5.113715,106.4,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 105,69.337,703.7,33.5746,151.0,1.0,0.25,0.4096039,0.1042389,0.1042389,0.1042389,0.1042389,0.1042389,0.06920174
Run 106,0.3461,2251.5,118.0807,349.9,1.0,0.25,0.4343024,0.09483315,0.09483315,0.09483315,0.09483315,0.09483315,0.0915319
Run 107,7.7222,1202.7,55.92991,300.1,1.0,0.25,0.371144,0.1069513,0.1069513,0.1069513,0.1069513,0.1069513,0.0940993
Run 108,1.2994,1757.2,62.11863,701.5,1.0,0.25,0.1638417,0.1406947,0.1406947,0.1406947,0.1406947,0.1406947,0.1326849
Run 109,16.729,1004.5,46.42824,251.2,1.0,0.25,0.3727102,0.1076088,0.1076088,0.1076088,0.1076088,0.1076088,0.08924577
Run 110,0.66252,2000.6,109.112,202.2,1.0,0.25,0.4568594,0.09119248,0.09119248,0.09119248,0.09119248,0.09119248,0.08717821
Run 111,524.21,404.3,10.34561,205.1,1.0,0.25,,0.1943626,0.1943626,0.1943626,0.1943626,0.1943626,0.0281871
Run 112,16.822,1003.5,55.70876,2.6,1.0,0.25,0.4777867,0.0895887,0.0895887,0.0895887,0.0895887,0.0895887,0.07426978
Run 113,1.3256,1750.3,92.51072,251.9,1.0,0.25,0.4408032,0.09409935,0.09409935,0.09409935,0.09409935,0.09409935,0.08870007
Run 114,2.8058,1501.7,79.84118,201.5,1.0,0.25,0.4460038,0.09354369,0.09354369,0.09354369,0.09354369,0.09354369,0.08627773
Run 115,1346.4,306.9,7.87189,145.9,1.0,0.25,0.0306001,0.19388,0.19388,0.19388,0.19388,0.19388,
Run 116,2.7652,1506.0,49.42901,651.0,1.0,0.25,0.1025206,0.1515306,0.1515306,0.1515306,0.1515306,0.1515306,0.1398266
Run 117,1.317,1752.5,87.62768,349.9,1.0,0.25,0.4088645,0.09947141,0.09947141,0.09947141,0.09947141,0.09947141,0.09377847
Run 118,2.7567,1506.3,57.21622,548.7,1.0,0.25,0.2244845,0.1309374,0.1309374,0.1309374,0.1309374,0.1309374,0.1208287
Run 119,246670.0,55.6,1.383626,101.3,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 120,7.6086,1206.9,35.43388,595.5,1.0,0.25,0.003833785,0.1693976,0.1693976,0.1693976,0.1693976,0.1693976,0.1491783
Run 121,7.6385,1206.0,40.77,501.2,1.0,0.25,0.1348874,0.1471163,0.1471163,0.1471163,0.1471163,0.1471163,0.1295309
Run 122,1384.5,304.2,15.62996,1.9,1.0,0.25,0.5160705,0.0967859,0.0967859,0.0967859,0.0967859,0.0967859,
Run 123,0.34424,2253.5,95.56473,700.7,1.0,0.25,0.3003824,0.1172822,0.1172822,0.1172822,0.1172822,0.1172822,0.1132067
Run 124,16.683,1005.1,31.35703,452.2,1.0,0.25,0.070635,0.1594231,0.1594231,0.1594231,0.1594231,0.1594231,0.1322493
Run 125,0.34152,2255.3,91.7905,750.4,1.0,0.25,0.2710264,0.1222022,0.1222022,0.1222022,0.1222022,0.1222022,0.1179625
Run 126,7.7095,1203.2,52.31449,350.6,1.0,0.25,0.327404,0.1143885,0.1143885,0.1143885,0.1143885,0.1143885,0.1006535
Run 127,520.68,405.1,13.55095,151.0,1.0,0.25,0.2346704,0.1486854,0.1486854,0.1486854,0.1486854,0.1486854,0.02190267
Run 128,2.7704,1505.5,53.03991,601.3,1.0,0.25,0.1638905,0.14117,0.14117,0.14117,0.14117,0.14117,0.1302595
Run 129,4717.8,209.4,5.207502,501.2,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 130,525.25,404.1,20.08611,50.1,1.0,0.25,0.4851763,0.1000709,0.1000709,0.1000709,0.1000709,0.1000709,0.0144692
Run 131,2.7981,1502.1,77.63398,250.4,1.0,0.25,0.430071,0.09623321,0.09623321,0.09623321,0.09623321,0.09623321,0.08876293
Run 132,5064.4,204.7,5.091312,151.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 133,1.3259,1750.2,97.20973,102.0,1.0,0.25,0.4678667,0.08954532,0.08954532,0.08954532,0.08954532,0.08954532,0.08440673
Run 134,69.324,703.6,38.48133,1.9,1.0,0.25,0.4849644,0.09093481,0.09093481,0.09093481,0.09093481,0.09093481,0.06036157
Run 135,16.786,1003.7,42.74605,300.9,1.0,0.25,0.3192855,0.1167792,0.1167792,0.1167792,0.1167792,0.1167792,0.09681849
Run 136,224900.0,57.5,1.43104,300.9,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 137,0.34465,2252.9,109.8139,500.4,1.0,0.25,0.3913233,0.1020374,0.1020374,0.1020374,0.1020374,0.1020374,0.09848984
Run 138,69.649,703.2,36.186,101.3,1.0,0.25,0.4526211,0.09665108,0.09665108,0.09665108,0.09665108,0.09665108,0.06412354
Run 139,0.65527,2004.5,74.752,751.9,1.0,0.25,0.2056249,0.1333705,0.1333705,0.1333705,0.1333705,0.1333705,0.1275224
Run 140,0.65164,2006.3,71.05684,800.9,1.0,0.25,0.1635558,0.1404318,0.1404318,0.1404318,0.1404318,0.1404318,0.134285
Run 141,7.7053,1203.1,61.95327,200.0,1.0,0.25,0.4321019,0.09658287,0.09658287,0.09658287,0.09658287,0.09658287,0.08498378
Run 142,0.34969,2247.8,125.5859,101.3,1.0,0.25,0.4689936,0.08901923,0.08901923,0.08901923,0.08901923,0.08901923,0.08591021
Run 143,0.34633,2251.7,99.18637,651.8,1.0,0.25,0.326471,0.1129098,0.1129098,0.1129098,0.1129098,0.1129098,0.1089801
Run 144,0.34688,2249.7,120.101,301.6,1.0,0.25,0.4442649,0.09316389,0.09316389,0.09316389,0.09316389,0.09316389,0.08991562
