Input File,mT1 (GeV),mn1 (GeV)
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_55_435_421/Input/_pptt1jmatch_run_55_435_421.list,435.0,421.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_56_450_420/Input/_pptt1jmatch_run_56_450_420.list,450.0,420.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_57_461_420/Input/_pptt1jmatch_run_57_461_420.list,461.0,420.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_58_470_421/Input/_pptt1jmatch_run_58_470_421.list,470.0,421.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_59_456_449/Input/_pptt1jmatch_run_59_456_449.list,456.0,449.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_60_461_449/Input/_pptt1jmatch_run_60_461_449.list,461.0,449.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_63_470_450/Input/_pptt1jmatch_run_63_470_450.list,470.0,450.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_64_480_450/Input/_pptt1jmatch_run_64_480_450.list,480.0,450.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_65_485_450/Input/_pptt1jmatch_run_65_485_450.list,485.0,450.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_66_490_450/Input/_pptt1jmatch_run_66_490_450.list,490.0,450.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_67_487_480/Input/_pptt1jmatch_run_67_487_480.list,487.0,480.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_68_491_480/Input/_pptt1jmatch_run_68_491_480.list,491.0,480.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_69_500_480/Input/_pptt1jmatch_run_69_500_480.list,500.0,480.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_70_502_490/Input/_pptt1jmatch_run_70_502_490.list,502.0,490.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_71_516_501/Input/_pptt1jmatch_run_71_516_501.list,516.0,501.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_72_520_501/Input/_pptt1jmatch_run_72_520_501.list,520.0,501.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_73_531_520/Input/_pptt1jmatch_run_73_531_520.list,531.0,520.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_74_535_520/Input/_pptt1jmatch_run_74_535_520.list,535.0,520.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_75_540_520/Input/_pptt1jmatch_run_75_540_520.list,540.0,520.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_76_546_540/Input/_pptt1jmatch_run_76_546_540.list,546.0,540.0
/home/yoxara/workstation/Output_MC/SUSY_MA5_val/_run_77_550_540/Input/_pptt1jmatch_run_77_550_540.list,550.0,540.0
