Mediator Mass (GeV),DM Mass (GeV),Upper limit on signal strength
15.8,100.6,1.46
19.4,200.0,3.93
17.7,301.6,8.69
19.7,501.2,34.5
54.7,1.9,0.01
56.2,20.9,0.03
55.6,101.3,1.34
57.5,300.9,9.79
59.5,500.4,34.9
204.6,1.9,0.01
203.8,50.9,0.01
205.5,94.7,0.15
205.6,106.4,0.71
204.7,151.0,1.93
207.5,301.6,8.16
209.4,501.2,33.2
304.2,1.9,0.02
304.6,51.6,0.02
305.1,100.6,0.04
306.9,145.9,0.48
305.6,156.1,1.08
306.1,201.5,2.63
403.7,1.9,0.04
404.1,50.1,0.04
403.3,100.6,0.05
405.1,151.0,0.08
402.9,195.6,0.95
404.3,205.1,1.45
404.7,251.2,3.5
504.5,1.9,0.05
502.3,50.9,0.05
504.2,101.3,0.05
504.6,151.8,0.07
505.1,202.2,0.14
502.9,246.1,1.48
505.6,255.6,2.07
506.1,300.1,4.66
506.5,350.6,7.98
703.6,1.9,0.07
704.0,50.1,0.08
703.2,101.3,0.08
703.7,151.0,0.09
704.2,201.5,0.11
704.6,251.2,0.15
705.1,300.9,0.34
706.9,345.5,2.62
707.0,355.7,3.18
707.0,500.4,19.6
1003.5,2.6,0.13
1001.3,51.6,0.14
1001.8,100.6,0.14
1002.2,151.8,0.15
1004.0,201.5,0.16
1004.5,251.2,0.18
1003.7,300.9,0.21
1004.1,349.1,0.27
1004.6,401.8,0.42
1005.1,452.2,0.94
1006.8,494.6,5.97
1007.0,505.6,6.45
1007.9,601.3,26.5
1201.2,2.6,0.19
1201.7,50.9,0.19
1202.1,101.3,0.2
1202.6,151.0,0.2
1203.1,200.0,0.22
1202.2,250.4,0.24
1202.7,300.1,0.26
1203.2,350.6,0.3
1205.0,400.3,0.35
1206.8,450.0,0.46
1206.0,501.2,0.72
1205.1,551.6,1.66
1206.9,595.5,9.56
1205.6,605.7,10.3
1208.3,751.2,66.9
1498.4,1.9,0.34
1500.2,50.9,0.34
1500.7,102.0,0.35
1501.2,151.0,0.34
1501.7,201.5,0.37
1502.1,250.4,0.39
1502.6,301.6,0.42
1503.1,351.3,0.44
1503.6,401.0,0.46
1504.0,450.0,0.53
1505.8,501.2,0.66
1506.3,548.7,0.79
1505.5,601.3,1.06
1506.0,651.0,1.67
1506.4,700.7,3.86
1506.9,746.8,18.5
1507.0,756.3,20.3
1750.6,2.6,0.55
1749.7,51.6,0.55
1750.2,102.0,0.57
1750.6,151.0,0.59
1749.8,200.7,0.59
1750.3,251.9,0.63
1752.1,300.9,0.65
1752.5,349.9,0.68
1751.7,401.0,0.72
1753.5,451.5,0.78
1752.7,500.4,0.87
1754.5,550.9,0.96
1756.3,601.3,1.12
1755.4,650.3,1.4
1757.2,701.5,1.75
1755.0,750.4,2.63
1756.9,800.9,4.92
1996.0,2.6,0.84
1996.5,50.9,0.87
1999.6,102.0,0.88
1997.5,151.8,0.93
2000.6,202.2,0.9
1999.7,251.2,0.95
1998.9,300.9,0.96
2002.0,351.3,1.03
2001.2,400.3,1.08
2001.7,451.5,1.13
2002.1,501.2,1.22
2002.6,550.1,1.27
2003.1,601.3,1.4
2003.6,651.8,1.63
2004.0,700.7,1.88
2004.5,751.9,2.28
2006.3,800.9,2.84
2248.2,3.4,1.41
2247.3,52.3,1.42
2247.8,101.3,1.43
2248.3,152.5,1.42
2247.4,202.2,1.47
2251.9,251.2,1.49
2249.7,301.6,1.53
2251.5,349.9,1.62
2250.6,400.3,1.69
2249.8,450.7,1.73
2252.9,500.4,1.87
2253.4,551.6,1.89
2253.9,602.0,2.05
2251.7,651.8,2.3
2253.5,700.7,2.51
2255.3,750.4,2.77
2255.8,801.6,3.18
