mt1,mn1
349, 299
355, 300
360, 300
365, 319
370, 320
360, 330
365, 330
370, 331
375, 330
375, 349
380, 349
383, 349
386, 349
388, 349
395, 349
389, 365
395, 364
397, 365
401, 365
405, 365
411, 365
400, 380
405, 380
411, 380
416, 380
420, 379
410, 400
420, 400
430, 400
430, 420
436, 420
451, 421
456, 449
460, 449
471, 449
486, 480
491, 480
503, 490
515, 500
530, 520
546, 540
