Mediator Mass (GeV),DM Mass (GeV),xsecUL
1004.1,349.1,0.743974767
1202.6,151.0,0.48669506
1755.0,750.4,0.27014593618
15.8,100.6,5.33841846
17.7,301.6,0.68986326244
1753.5,451.5,0.26862663906
305.1,100.6,8.115377200000001
306.1,201.5,1.8124979799
707.0,355.7,0.9945884706
204.6,1.9,10.871151
506.1,300.1,0.9549910886
1752.7,500.4,0.27061543226999996
1506.4,700.7,0.33943929426
2247.4,202.2,0.19163945324999998
705.1,300.9,1.685408118
2004.0,700.7,0.21909006948
1751.7,401.0,0.26609021784
1996.5,50.9,0.22623191595
1502.6,301.6,0.34659292080000004
207.5,301.6,0.7276372286399999
502.9,246.1,3.5244314479999996
2002.1,501.2,0.21964087976000002
1755.4,650.3,0.27732542599999993
1756.3,601.3,0.26717772816
1500.2,50.9,0.3404040730000001
1498.4,1.9,0.3504921416
1503.6,401.0,0.3179766468
1997.5,151.8,0.23109841188000002
2248.3,152.5,0.19257261981999999
2251.9,251.2,0.18889267293999998
1201.2,2.6,0.508469659
1749.7,51.6,0.27169106800000004
1208.3,751.2,0.20755553669100002
505.6,255.6,2.0299735898999995
504.5,1.9,3.356751
2001.2,400.3,0.21898836432000002
506.5,350.6,0.6248644117800001
203.8,50.9,8.623292000000001
305.6,156.1,4.76316936
1202.2,250.4,0.5150922840000001
2003.6,651.8,0.21835509503
1202.1,101.3,0.50613316
504.6,151.8,3.1113859700000006
1500.7,102.0,0.34294025499999997
1007.0,505.6,0.51394409475
704.0,50.1,1.65415504
504.2,101.3,2.8767332500000005
1750.6,151.0,0.2788686684
403.3,100.6,5.487924000000001
1205.6,605.7,0.36792320897
1505.8,501.2,0.3445081002
59.5,500.4,0.32151108131
205.5,94.7,20.2551795
1999.6,102.0,0.22274026808
1004.0,201.5,0.73178696
19.7,501.2,0.312649419
704.6,251.2,1.5406878
1205.1,551.6,0.507744864
706.9,345.5,1.8631344
404.7,251.2,1.2321417499999998
1501.2,151.0,0.3235559068
2002.6,550.1,0.20850272243999998
1750.6,2.6,0.27543831150000003
707.0,500.4,0.33227786312
2253.9,602.0,0.18635132014999997
1007.9,601.3,0.2794170918
56.2,20.9,344.1678
2003.1,601.3,0.2115164548
402.9,195.6,6.064219550000001
1205.0,400.3,0.4938696525
2002.0,351.3,0.21595755075
2247.3,52.3,0.20095676274
2248.2,3.4,0.20247359877
502.3,50.9,3.291659
1001.3,51.6,0.7648982180000001
1752.1,300.9,0.2710982508
1749.8,200.7,0.2692003148
704.2,201.5,1.55597992
2255.8,801.6,0.192855043518
1503.1,351.3,0.3402443088
1756.9,800.9,0.277643349
1504.0,450.0,0.3283884876
2253.4,551.6,0.18062938278
1506.9,746.8,0.34858944864999997
1996.0,2.6,0.22161967800000001
19.4,200.0,1.4579541903
54.7,1.9,257.3196
1998.9,300.9,0.21413455007999999
2250.6,400.3,0.19160519157000003
2249.8,450.7,0.18812351987
1001.8,100.6,0.7359057160000001
1006.8,494.6,0.9087982944
505.1,202.2,3.2636482200000008
1999.7,251.2,0.22292343180000002
1206.8,450.0,0.4999480238
1004.6,401.8,0.757032234
304.6,51.6,6.215296000000001
403.7,1.9,5.6754928
2001.7,451.5,0.21658176187999997
1507.0,756.3,0.258439646724
1754.5,550.9,0.26588004096
1002.2,151.8,0.74871768
1201.7,50.9,0.497562899
205.6,106.4,9.035579279999999
703.7,151.0,1.5524525699999998
2251.5,349.9,0.18889047072
1202.7,300.1,0.5107442002
1757.2,701.5,0.26115849725
1004.5,251.2,0.73281366
2000.6,202.2,0.21461613840000002
404.3,205.1,2.861832375
1003.5,2.6,0.705734666
1750.3,251.9,0.274192443
1501.7,201.5,0.3393909804
306.9,145.9,11.811071039999998
1506.0,651.0,0.33366547395
1752.5,349.9,0.27213932384
1506.3,548.7,0.33540478580000005
55.6,101.3,5.105166840000001
1206.9,595.5,0.5763545706000001
1206.0,501.2,0.49436084160000004
304.2,1.9,6.836878
2253.5,700.7,0.19135579116999998
1005.1,452.2,0.7445357608
2255.3,750.4,0.187789683592
1203.2,350.6,0.5150233230000001
405.1,151.0,5.041445600000001
1505.5,601.3,0.33305419950000004
209.4,501.2,0.31669656624000003
404.1,50.1,5.319349600000001
1502.1,250.4,0.3410397237
204.7,151.0,3.0336658679999995
1750.2,102.0,0.2789776194
703.6,1.9,1.4814411500000002
1003.7,300.9,0.725589501
57.5,300.9,0.7843686029299999
2252.9,500.4,0.1903640552
703.2,101.3,1.526796
2004.5,751.9,0.21835758588
2006.3,800.9,0.21636818604
1203.1,200.0,0.507779338
2247.8,101.3,0.19623292689000002
2251.7,651.8,0.1944668377
2249.7,301.6,0.18774219347999999
