Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 21,242.24,502.9,13.59279,246.1,1.0,0.25,0.008567718,0.184004,0.184004,0.184004,0.184004,0.184004,0.07141252,1.48,3.0716571323136
Run 22,0.65938,2002.1,93.76008,501.2,1.0,0.25,0.3674375,0.1062051,0.1062051,0.1062051,0.1062051,0.1062051,0.1015371,1.22,0.29558274527499995
Run 23,1.3043,1755.4,65.99269,650.3,1.0,0.25,0.2137567,0.1322984,0.1322984,0.1322984,0.1322984,0.1322984,0.1247512,1.4,0.39032400933399997
Run 24,1.3028,1756.3,69.94347,601.3,1.0,0.25,0.2577981,0.1248866,0.1248866,0.1248866,0.1248866,0.1248866,0.1177691,1.12,0.37616248844159994
Run 25,2.8199,1500.2,83.70857,50.9,1.0,0.25,0.4721178,0.08913648,0.08913648,0.08913648,0.08913648,0.08913648,0.08219975,0.34,0.45265049463480006
Run 26,2.8294,1498.4,83.88062,1.9,1.0,0.25,0.4738473,0.08884722,0.08884722,0.08884722,0.08884722,0.08884722,0.08191665,0.34,0.45583920721080007
Run 27,2.7812,1503.6,68.4252,401.0,1.0,0.25,0.3527335,0.109289,0.109289,0.109289,0.109289,0.109289,0.1008213,0.46,0.45127030869199997
Run 28,0.66813,1997.5,110.3291,151.8,1.0,0.25,0.4637054,0.09004511,0.09004511,0.09004511,0.09004511,0.09004511,0.08606899,0.93,0.28812840467886
Run 29,0.34864,2248.3,124.7004,152.5,1.0,0.25,0.4651056,0.0896708,0.0896708,0.0896708,0.0896708,0.0896708,0.08654038,1.42,0.23025927126527998
Run 30,0.34554,2251.9,122.1394,251.2,1.0,0.25,0.453006,0.09169749,0.09169749,0.09169749,0.09169749,0.09169749,0.08850648,1.49,0.23323222292760004
Run 31,7.7968,1201.2,66.9875,2.6,1.0,0.25,0.4756368,0.08918446,0.08918446,0.08918446,0.08918446,0.08918446,0.07844095,0.19,0.7046045504256001
Run 32,1.3256,1749.7,97.88412,51.6,1.0,0.25,0.4716812,0.08890389,0.08890389,0.08890389,0.08890389,0.08890389,0.08379933,0.55,0.34389332929599997
Run 33,7.5897,1208.3,35.34329,751.2,1.0,0.25,,0.1700412,0.1700412,0.1700412,0.1700412,0.1700412,0.149794,66.9,
Run 34,237.24,505.6,13.56386,255.6,1.0,0.25,,0.1854029,0.1854029,0.1854029,0.1854029,0.1854029,0.07298565,2.07,
Run 35,238.88,504.5,26.91083,1.9,1.0,0.25,0.4972694,0.09324595,0.09324595,0.09324595,0.09324595,0.09324595,0.03650091,0.05,5.9393857136
Run 36,0.66025,2001.2,100.1437,400.3,1.0,0.25,0.408049,0.09938726,0.09938726,0.09938726,0.09938726,0.09938726,0.09501472,1.08,0.29096750043
Run 37,236.15,506.5,13.59281,350.6,1.0,0.25,,0.1853402,0.1853402,0.1853402,0.1853402,0.1853402,0.07329901,7.98,
