Label,Region,Total Weight,Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gVx,gAq,gVq
Run 22,EM9,1.585386207017544e-05,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM10,1.171807196491228e-05,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM11,5.514386807017544e-06,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 22,EM12,4.825088456140351e-06,464.262,12.24455,450.11,1.0,0.0,0.25,0.0
Run 23,EM0,0.008624942145263109,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM1,0.005435122043508742,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM2,0.0033306693010526148,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM3,0.0025518560814034967,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM4,0.0034715185003508595,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM5,0.0018144690968420975,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
Run 23,EM6,0.001143364088421049,2017.4,111.4242,153.87,1.0,0.0,0.25,0.0
