Label,Region,Total Weight,Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gVx,gAq,gVq
Run 4,EM8,0.005115050431578948,1000.1,54.42475,83.132,1.0,0.0,0.25,0.0
Run 4,EM9,0.0030311409964912293,1000.1,54.42475,83.132,1.0,0.0,0.25,0.0
Run 4,EM10,0.0,1000.1,54.42475,83.132,1.0,0.0,0.25,0.0
Run 4,EM11,0.0011366778736842107,1000.1,54.42475,83.132,1.0,0.0,0.25,0.0
Run 4,EM12,0.0009472315614035088,1000.1,54.42475,83.132,1.0,0.0,0.25,0.0
Run 5,EM0,0.005367388735087595,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM1,0.0034901246947367888,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM2,0.002342613999649113,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM3,0.0016234367898245654,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM4,0.0022685810515789403,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM5,0.0012797123880701783,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM6,0.0007509056161403522,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM7,0.00041246928210526346,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM8,0.00027497952140350865,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM9,0.0001374897607017544,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM10,0.00014806589614035088,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM11,7.403294807017545e-05,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 5,EM12,4.230454175438596e-05,2017.4,88.4714,588.03,1.0,0.0,0.25,0.0
Run 6,EM0,0.002124058451052642,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM1,0.0013395629952631704,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM2,0.0008239669252631617,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM3,0.000599472942631579,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM4,0.0007302221852631602,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM5,0.000328106589999999,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM6,0.00018008857947368395,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM7,0.0001332162094736842,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM8,4.687237000000001e-05,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM9,3.700450263157895e-05,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM10,1.9735734736842104e-05,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM11,1.4801801052631577e-05,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 6,EM12,9.867867368421052e-06,300.29,7.4676,327.73,1.0,0.0,0.25,0.0
Run 7,EM0,0.016115328351930188,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM1,0.010255208951228183,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM2,0.006697279315087708,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM3,0.004652677216491221,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM4,0.00647189010736841,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM5,0.004137501884561397,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM6,0.0023343882228070143,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM7,0.0012879383298245602,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM8,0.0007566637687719297,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM9,0.0004990761028070179,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
Run 7,EM10,0.00024148843684210523,1759.0,96.52742,153.87,1.0,0.0,0.25,0.0
