Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mMed (GeV),mchi (GeV),Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
EM2,9.3608645,9.2677434,0.0053416,1.54e-05,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.49789056524806236,0.49293759139446996,Excluded,Excluded
EM3,7.5126291,9.1251415,0.0030795,1.17e-05,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.5056712819192996,0.6142086796218916,Excluded,Excluded
EM4,5.4358834,7.6400721,0.0032289,1.2e-05,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.6039631484629575,0.8488633144706526,Excluded,Excluded
EM5,3.7943433,4.6156145,0.0016168,8.5e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.9997199722810471,1.2161055643014693,Excluded,Included
EM6,5.6077866,7.7982085,0.0005172,4.8e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.5917156485364554,0.8228419390994657,Excluded,Excluded
EM7,5.1493394,7.4793539,0.0002801,3.5e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.6169412574527325,0.8960997987431164,Excluded,Excluded
EM8,11.3454452,13.0870328,7.13e-05,1.8e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.3525873336238601,0.406711408733436,Excluded,Excluded
EM9,13.898324,11.7746128,3.53e-05,1.3e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.39188736635144383,0.3320056432703684,Excluded,Excluded
EM10,4.4069854,9.4100016,7.11e-05,1.8e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.49036357230800043,1.0470472627388328,Excluded,Included
EM11,-1.0,-1.0,0.0,0.0,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,-4.614322,-4.614322,Excluded,Excluded
EM12,7.5697034,6.0850253,3.37e-05,1.2e-06,4.614322,spin1_run_01_mzp_20_mx_100,20.0,100.0,0.7583077756472105,0.6095776487094593,Excluded,Excluded
IM0,7.0702824,8.9436847,0.0801446,0.0001749,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.054375284495438436,0.06878302343340628,Excluded,Excluded
IM1,4.2794561,5.3767155,0.0527964,0.000144,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.09044841595208078,0.1136395347062913,Excluded,Excluded
IM2,3.3714086,4.6297602,0.0337084,0.0001162,0.4863154,spin1_run_02_mzp_20_mx_200,20.0,200.0,0.10504116390304621,0.14424694770013935,Excluded,Excluded
