#PT_recoil,Events/GeV
205.11862119088414, 27.63885277147584
244.40637491564144, 27.493867839974715
248.10258007579299, 19.929025431264336
298.63995967449927, 19.857727776270618
299.5712691701549, 16.571777379984844
336.60333922321513, 16.489825626071617
351.39413626712263, 11.171932736559214
397.90954064691294, 10.819538589520521
401.5646800653464, 6.287489646769258
498.01029030899787, 6.369204130444399
498.23060008216373, 3.608595657175978
598.1210540516812, 3.653808869125031
600.0637856877801, 2.0696587261352724
697.4106631852918, 1.8905730926120266
698.4320994063335, 1.2505212550813798
799.1837643073175, 1.2660434506670284
801.116481862818, 0.7358974439527632
898.4333171185342, 0.7263724083641072
897.7723877990367, 0.43340508646932335
997.6528276879558, 0.4503159997217178
1000.4367420943244, 0.26856645157313885
1096.0712118095016, 0.23912823882302034
1098.815069893476, 0.158135119008342
1198.6854957017968, 0.16860384475067908
1198.445157767434, 0.31336173296897946
1293.1783602287508, 0.3094127572879857
