#PT_recoil,Events/GeV
195.85543641203031, 34188.461470691895
245.8156845176867, 33094.79564421917
245.26491008477208, 14863.493438565247
295.22515819042843, 14388.020307090916
294.7044259993092, 5980.189186144997
346.38709596789863, 5787.55230353082
344.95508244232064, 2737.3966525421565
395.7765414794435, 2649.523694860665
396.15707654218454, 993.044104700466
496.05754459230053, 979.8517458728134
496.538220461026, 283.66346122812473
596.4587166723388, 265.80533320103683
596.8492658156783, 97.08422094904684
695.8885229343277, 95.80552467801535
698.8526907914683, 35.895588025912744
797.0407510592496, 34.523695378731446
797.3612016383998, 15.108196589903976
896.3804305958524, 15.699509049393987
898.4233030379359, 6.86880649875926
998.3137570074533, 6.954867901468057
997.7429544133419, 3.2891343864871856
1096.7822115319914, 3.2458131975873954
1097.0325635469526, 1.7018812947834132
1197.8042566091333, 1.6362710913453908
1197.734158044944, 1.9604945958393196
1296.783429244192, 1.8853491212975308
