Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
40,20.01,160.02,2e-06,1.4e-05,33.0,0.0
41,20.01,161.99,2e-06,1.3e-05,33.0,0.0
42,20.01,163.52,2e-06,1.3e-05,33.0,0.0
43,20.01,167.01,1e-06,1.1e-05,33.0,0.0
44,20.01,170.51,1e-06,7e-06,34.0,0.0
45,20.01,171.17,1e-06,6e-06,34.0,0.0
46,20.01,174.0,0.0,4e-06,34.0,0.0
47,20.01,177.5,0.0,3e-06,34.0,0.0
48,20.01,180.35,0.0,2e-06,34.0,0.0
49,20.01,180.99,0.0,2e-06,35.0,0.0
50,20.01,184.49,0.0,2e-06,35.0,0.0
51,20.01,187.98,0.0,2e-06,35.0,0.0
52,20.01,188.7,0.0,2e-06,35.0,0.0
53,20.01,191.48,0.0,2e-06,35.0,0.0
54,20.01,194.97,0.0,2e-06,35.0,0.0
55,20.01,196.18,0.0,2e-06,35.0,0.0
56,20.01,198.47,0.0,2e-06,35.0,0.0
57,20.01,200.38,0.0,2e-06,35.0,0.0
58,20.01,201.96,0.0,2e-06,35.0,0.0
59,20.01,205.46,0.0,2e-06,35.0,0.0
60,20.01,208.95,0.0,1e-06,35.0,0.0
61,20.01,212.45,0.0,1e-06,35.0,0.0
62,20.01,212.84,0.0,1e-06,35.0,0.0
63,20.01,215.94,0.0,1e-06,35.0,0.0
64,20.01,219.44,0.0,1e-06,35.0,0.0
65,20.01,222.32,0.0,1e-06,35.0,0.0
66,20.01,222.93,0.0,1e-06,35.0,0.0
67,20.01,226.43,0.0,1e-06,35.0,0.0
68,20.01,229.92,0.0,1e-06,35.0,0.0
69,20.01,231.06,0.0,1e-06,35.0,0.0
70,20.01,233.42,0.0,1e-06,35.0,0.0
71,20.01,236.91,0.0,1e-06,35.0,0.0
72,20.01,237.44,0.0,1e-06,35.0,0.0
73,20.01,327.73,0.0,1e-06,36.0,0.0
74,20.01,450.11,0.0,1e-06,37.0,0.0
75,20.01,515.03,0.0,1e-06,37.0,0.0
76,20.01,588.03,0.0,1e-06,37.0,0.0
77,20.01,586.41,0.0,1e-06,37.0,0.0
78,20.01,585.58,0.0,1e-06,37.0,0.0
79,20.01,583.12,0.0,1e-06,37.0,0.0
80,20.01,582.92,0.0,1e-06,37.0,0.0
81,20.01,580.67,0.0,1e-06,37.0,0.0
82,20.01,579.42,0.0,1e-06,37.0,0.0
83,20.01,578.21,0.0,1e-06,37.0,0.0
84,20.01,575.93,0.0,1e-06,37.0,0.0
85,20.01,575.76,0.0,1e-06,37.0,0.0
86,20.01,573.33,0.0,1e-06,37.0,0.0
87,20.01,572.43,0.0,1e-06,37.0,0.0
88,20.01,571.02,0.0,1e-06,37.0,0.0
89,20.01,568.94,0.0,1e-06,37.0,0.0
90,20.01,568.87,0.0,1e-06,37.0,0.0
91,20.01,567.35,0.0,1e-06,37.0,0.0
92,20.01,565.86,0.0,1e-06,37.0,0.0
93,20.01,565.44,0.0,1e-06,37.0,0.0
94,20.01,564.37,0.0,1e-06,37.0,0.0
95,20.01,562.88,0.0,1e-06,37.0,0.0
96,20.01,561.95,0.0,1e-06,37.0,0.0
97,20.01,558.45,0.0,1e-06,37.0,0.0
98,20.01,557.76,0.0,1e-06,37.0,0.0
