Run,MY1,Mchi,Omegah2,xsi,x_f,sigmav_xf
01,20.01,72.91,4.9e-05,0.000406,27.0,0.0
02,20.01,81.93,7e-06,5.5e-05,31.0,0.0
03,20.01,98.772,5e-06,4.5e-05,31.0,0.0
04,20.01,116.75,4e-06,3.2e-05,32.0,0.0
05,20.01,135.56,3e-06,2.4e-05,32.0,0.0
06,20.01,160.02,2e-06,1.8e-05,32.0,0.0
07,20.01,180.35,2e-06,1.4e-05,33.0,0.0
08,20.01,200.38,0.0,2e-06,34.0,0.0
09,20.01,237.44,0.0,2e-06,35.0,0.0
10,20.01,299.0,0.0,1e-06,35.0,0.0
11,20.01,327.73,0.0,1e-06,36.0,0.0
12,20.01,450.11,0.0,1e-06,36.0,0.0
13,20.01,515.03,0.0,1e-06,37.0,0.0
14,20.01,588.03,0.0,1e-06,37.0,0.0
15,20.01,620.0,0.0,1e-06,37.0,0.0
16,20.01,680.0,0.0,1e-06,37.0,0.0
17,20.01,740.0,0.0,0.0,38.0,0.0
18,20.01,799.0,0.0,0.0,38.0,0.0
19,20.01,860.0,0.0,0.0,38.0,0.0
20,60.05,72.91,0.0,0.0,38.0,0.0
21,60.05,81.93,0.000736,0.00613,25.0,0.0
22,60.05,98.772,0.000182,0.00152,27.0,0.0
23,60.05,116.75,0.000162,0.00135,27.0,0.0
24,60.05,135.56,0.000146,0.00122,28.0,0.0
25,60.05,160.02,0.00013,0.00109,28.0,0.0
26,60.05,180.35,0.000112,0.000936,28.0,0.0
27,60.05,200.38,9e-05,0.000751,29.0,0.0
28,60.05,237.44,2e-05,0.000163,30.0,0.0
29,60.05,299.0,1.3e-05,0.00011,31.0,0.0
30,60.05,327.73,1e-05,8.4e-05,31.0,0.0
31,60.05,450.11,8e-06,6.8e-05,32.0,0.0
32,60.05,515.03,8e-06,6.3e-05,32.0,0.0
33,60.05,588.03,6e-06,5e-05,32.0,0.0
34,60.05,620.0,5e-06,4.4e-05,33.0,0.0
35,60.05,680.0,5e-06,3.9e-05,33.0,0.0
36,60.05,740.0,4e-06,3.7e-05,33.0,0.0
37,60.05,799.0,4e-06,3.4e-05,33.0,0.0
38,60.05,860.0,4e-06,3.1e-05,33.0,0.0
39,100.09,72.91,3e-06,2.8e-05,34.0,0.0
40,100.09,81.93,3e-06,2.6e-05,34.0,0.0
41,100.09,98.772,0.0104,0.0863,22.0,0.0
42,100.09,116.75,0.00231,0.0193,25.0,0.0
43,100.09,135.56,0.00376,0.0313,24.0,0.0
44,100.09,160.02,0.00203,0.0169,25.0,0.0
45,100.09,180.35,0.000524,0.00437,26.0,0.0
46,100.09,200.38,0.000435,0.00362,27.0,0.0
47,100.09,237.44,0.000395,0.00329,27.0,0.0
48,100.09,299.0,0.000126,0.00105,28.0,0.0
49,100.09,327.73,8.9e-05,0.000745,29.0,0.0
50,100.09,450.11,7e-05,0.000582,29.0,0.0
51,100.09,515.03,5.7e-05,0.000476,30.0,0.0
52,100.09,588.03,5.4e-05,0.000446,30.0,0.0
53,100.09,620.0,4.2e-05,0.000352,30.0,0.0
54,100.09,680.0,3.8e-05,0.000314,31.0,0.0
55,100.09,740.0,3.3e-05,0.000277,31.0,0.0
56,100.09,799.0,3.2e-05,0.000263,31.0,0.0
57,100.09,860.0,2.9e-05,0.000238,31.0,0.0
58,160.15,72.91,2.6e-05,0.000216,31.0,0.0
59,160.15,81.93,2.4e-05,0.000197,32.0,0.0
60,160.15,98.772,2.2e-05,0.00018,32.0,0.0
61,160.15,116.75,0.0704,0.586,20.0,0.0
62,160.15,135.56,0.000126,0.00105,28.0,0.0
63,160.15,160.02,8.6e-05,0.000713,28.0,0.0
64,160.15,180.35,0.00205,0.0171,25.0,0.0
65,160.15,200.38,0.00574,0.0478,24.0,0.0
66,160.15,237.44,0.0107,0.089,24.0,0.0
67,160.15,299.0,0.0036,0.03,25.0,0.0
68,160.15,327.73,0.000645,0.00537,27.0,0.0
69,160.15,450.11,0.000455,0.0038,27.0,0.0
70,160.15,515.03,0.000368,0.00307,27.0,0.0
71,160.15,588.03,0.000317,0.00264,28.0,0.0
72,160.15,620.0,0.000301,0.00251,28.0,0.0
73,160.15,680.0,0.000246,0.00205,29.0,0.0
74,160.15,740.0,0.000222,0.00185,29.0,0.0
75,160.15,799.0,0.000197,0.00164,29.0,0.0
76,160.15,860.0,0.000187,0.00156,29.0,0.0
77,220.21,72.91,0.000169,0.00141,29.0,0.0
78,220.21,81.93,0.000154,0.00128,30.0,0.0
79,220.21,98.772,0.00014,0.00117,30.0,0.0
80,220.21,116.75,0.000128,0.00107,30.0,0.0
81,220.21,135.56,0.238,1.0,19.0,0.0
82,220.21,160.02,0.00902,0.0752,23.0,0.0
83,220.21,180.35,0.00448,0.0373,24.0,0.0
84,220.21,200.38,0.000347,0.00289,27.0,0.0
85,220.21,237.44,0.000507,0.00423,26.0,0.0
86,220.21,299.0,0.00369,0.0308,25.0,0.0
87,220.21,327.73,0.0103,0.0856,24.0,0.0
88,220.21,450.11,0.0032,0.0266,25.0,0.0
89,220.21,515.03,0.00226,0.0189,25.0,0.0
90,220.21,588.03,0.00121,0.0101,26.0,0.0
91,220.21,620.0,0.000914,0.00761,27.0,0.0
92,220.21,680.0,0.000875,0.00729,27.0,0.0
93,220.21,740.0,0.000761,0.00634,27.0,0.0
94,220.21,799.0,0.0007,0.00583,28.0,0.0
95,220.21,860.0,0.000632,0.00526,28.0,0.0
96,278.41,72.91,0.000603,0.00502,28.0,0.0
97,278.41,81.93,0.000551,0.0046,28.0,0.0
98,278.41,98.772,0.000504,0.0042,28.0,0.0
99,278.41,116.75,0.000461,0.00384,29.0,0.0
100,278.41,135.56,0.000422,0.00351,29.0,0.0
101,278.41,160.02,0.572,1.0,18.0,0.0
102,278.41,180.35,0.0361,0.301,22.0,0.0
103,278.41,200.38,0.0237,0.197,22.0,0.0
104,278.41,237.44,0.00954,0.0795,24.0,0.0
105,278.41,299.0,0.0021,0.0175,25.0,0.0
106,278.41,327.73,4.3e-05,0.000357,29.0,0.0
107,278.41,450.11,0.00296,0.0247,25.0,0.0
108,278.41,515.03,0.00457,0.0381,25.0,0.0
109,278.41,588.03,0.00445,0.0371,25.0,0.0
110,278.41,620.0,0.00411,0.0343,25.0,0.0
111,278.41,680.0,0.00228,0.019,26.0,0.0
112,278.41,740.0,0.00193,0.0161,26.0,0.0
113,278.41,799.0,0.00162,0.0135,27.0,0.0
114,278.41,860.0,0.00153,0.0128,27.0,0.0
115,340.33,72.91,0.00142,0.0118,27.0,0.0
116,340.33,81.93,0.00137,0.0114,27.0,0.0
117,340.33,98.772,0.00127,0.0106,27.0,0.0
118,340.33,116.75,0.00117,0.00976,27.0,0.0
119,340.33,135.56,0.00108,0.00901,28.0,0.0
120,340.33,160.02,0.000995,0.00829,28.0,0.0
