Label,sigma x BR (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]",Upper limit on signal strength,xsecUL
Run 22,0.180033508,2002.1,93.76008,501.2,1.0,0.25,0.3674375,0.1062051,0.1062051,0.1062051,0.1062051,0.1062051,0.1015371,1.22,0.21964087976000002
Run 23,0.19808958999999998,1755.4,65.99269,650.3,1.0,0.25,0.2137567,0.1322984,0.1322984,0.1322984,0.1322984,0.1322984,0.1247512,1.4,0.27732542599999993
Run 24,0.23855154299999998,1756.3,69.94347,601.3,1.0,0.25,0.2577981,0.1248866,0.1248866,0.1248866,0.1248866,0.1248866,0.1177691,1.12,0.26717772816
Run 25,1.0011884500000001,1500.2,83.70857,50.9,1.0,0.25,0.4721178,0.08913648,0.08913648,0.08913648,0.08913648,0.08913648,0.08219975,0.34,0.3404040730000001
Run 26,1.0308592399999998,1498.4,83.88062,1.9,1.0,0.25,0.4738473,0.08884722,0.08884722,0.08884722,0.08884722,0.08884722,0.08191665,0.34,0.3504921416
Run 27,0.6912535799999999,1503.6,68.4252,401.0,1.0,0.25,0.3527335,0.109289,0.109289,0.109289,0.109289,0.109289,0.1008213,0.46,0.3179766468
Run 28,0.248492916,1997.5,110.3291,151.8,1.0,0.25,0.4637054,0.09004511,0.09004511,0.09004511,0.09004511,0.09004511,0.08606899,0.93,0.23109841188000002
Run 29,0.135614521,2248.3,124.7004,152.5,1.0,0.25,0.4651056,0.0896708,0.0896708,0.0896708,0.0896708,0.0896708,0.08654038,1.42,0.19257261981999999
Run 30,0.12677360599999998,2251.9,122.1394,251.2,1.0,0.25,0.453006,0.09169749,0.09169749,0.09169749,0.09169749,0.09169749,0.08850648,1.49,0.18889267293999998
Run 31,2.6761561,1201.2,66.9875,2.6,1.0,0.25,0.4756368,0.08918446,0.08918446,0.08918446,0.08918446,0.08918446,0.07844095,0.19,0.508469659
Run 32,0.49398376,1749.7,97.88412,51.6,1.0,0.25,0.4716812,0.08890389,0.08890389,0.08890389,0.08890389,0.08890389,0.08379933,0.55,0.27169106800000004
Run 33,0.00310247439,1208.3,35.34329,751.2,1.0,0.25,,0.1700412,0.1700412,0.1700412,0.1700412,0.1700412,0.149794,66.9,0.20755553669100002
Run 34,0.9806635699999999,505.6,13.56386,255.6,1.0,0.25,,0.1854029,0.1854029,0.1854029,0.1854029,0.1854029,0.07298565,2.07,2.0299735898999995
Run 35,67.13502,504.5,26.91083,1.9,1.0,0.25,0.4972694,0.09324595,0.09324595,0.09324595,0.09324595,0.09324595,0.03650091,0.05,3.356751
Run 36,0.202767004,2001.2,100.1437,400.3,1.0,0.25,0.408049,0.09938726,0.09938726,0.09938726,0.09938726,0.09938726,0.09501472,1.08,0.21898836432000002
Run 37,0.078303811,506.5,13.59281,350.6,1.0,0.25,,0.1853402,0.1853402,0.1853402,0.1853402,0.1853402,0.07329901,7.98,0.6248644117800001
Run 38,862.3292,203.8,8.583017,50.9,1.0,0.25,0.4095878,0.1180824,0.1180824,0.1180824,0.1180824,0.1180824,,0.01,8.623292000000001
Run 39,4.410342,305.6,7.600442,156.1,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,,1.08,4.76316936
Run 40,2.14621785,1202.2,59.11612,250.4,1.0,0.25,0.4052821,0.101147,0.101147,0.101147,0.101147,0.101147,0.08898303,0.24,0.5150922840000001
