#: table_doi: 10.17182/hepdata.102093.v1/t83
#: name: Table yields EM12
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM12.
#: data_file: table_yields_em12.yaml
#: keyword phrases: Exclusive EM12 region
#: keyword cmenergies: 13000.0
EM12,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),207.0,0,0
SM prediction (post-fit),218.0,9.0,-9.0
Fitted $W\rightarrow e\nu$,2.59,0.22,-0.22
Fitted $W\rightarrow \mu\nu$,13.4,0.7,-0.7
Fitted $W\rightarrow\tau\nu$,15.9,1.0,-1.0
Fitted VBF $W$+jets,8.1,3.3,-3.3
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,1.19,0.04,-0.04
Fitted $Z\rightarrow \tau\tau$,0.5,0.04,-0.04
Fitted $Z\rightarrow \nu\nu$,144.0,8.0,-8.0
Fitted VBF $Z$+jets,20.0,5.0,-5.0
Fitted $t\bar{t}$,0.1,0.02,-0.02
Fitted single-$t$,-,0,0
Fitted dibosons,12.0,4.0,-4.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,192.0,18.0,-18.0
Fit input $W\rightarrow e\nu$,2.35,0.27,-0.27
Fit input $W\rightarrow \mu\nu$,12.0,1.0,-1.0
Fit input $W\rightarrow \tau\nu$,14.6,1.4,-1.4
Fit input VBF $W$+jets,4.0,4.0,-4.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,1.06,0.05,-0.05
Fit input $Z\rightarrow \tau\tau$,0.4,0.04,-0.04
Fit input $Z\rightarrow \nu\nu$,129.0,11.0,-11.0
Fit input VBF $Z$+jets,13.0,6.0,-6.0
Fit input $t\bar{t}$,0.1,0.06,-0.06
Fit input single-$t$,2.2,2.3,-2.3
Fit input dibosons,13.0,4.0,-4.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM12,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),110.0,0,0
SM prediction (post-fit),112.0,4.0,-4.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,79.0,4.0,-4.0
Fitted $W\rightarrow\tau\nu$,6.0,0.4,-0.4
Fitted VBF $W$+jets,18.0,6.0,-6.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,0.7,0.04,-0.04
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,1.13,0.23,-0.23
Fitted single-$t$,-,0,0
Fitted dibosons,6.8,2.2,-2.2
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,102.0,12.0,-12.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,73.0,8.0,-8.0
Fit input $W\rightarrow \tau\nu$,5.5,0.6,-0.6
Fit input VBF $W$+jets,11.0,7.0,-7.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,0.6,0.06,-0.06
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,1.3,0.5,-0.5
Fit input single-$t$,3.0,3.1,-3.1
Fit input dibosons,7.3,2.6,-2.6
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM12,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),125.0,0,0
SM prediction (post-fit),125.0,5.0,-5.0
Fitted $W\rightarrow e\nu$,89.0,5.0,-5.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,6.5,0.4,-0.4
Fitted VBF $W$+jets,20.0,6.0,-6.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,0.09,0.01,-0.01
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,6.1,1.0,-1.0
Fitted single-$t$,-,0,0
Fitted dibosons,3.6,1.1,-1.1
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,115.0,14.0,-14.0
Fit input $W\rightarrow e\nu$,81.0,8.0,-8.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,6.0,0.6,-0.6
Fit input VBF $W$+jets,12.0,7.0,-7.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,0.08,0.01,-0.01
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,7.0,2.2,-2.2
Fit input single-$t$,6.0,6.0,-6.0
Fit input dibosons,3.8,1.3,-1.3
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM12,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),10.0,0,0
SM prediction (post-fit),10.6,2.1,-2.1
Fitted $W\rightarrow e\nu$,2.9,0.4,-0.4
Fitted $W\rightarrow \mu\nu$,3.0,0.4,-0.4
Fitted $W\rightarrow\tau\nu$,0.3,0.05,-0.05
Fitted VBF $W$+jets,3.3,2.3,-2.3
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,0.8,0.17,-0.17
Fitted single-$t$,-,0,0
Fitted dibosons,0.2,0.13,-0.13
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,17.0,10.0,-10.0
Fit input $W\rightarrow e\nu$,2.6,0.4,-0.4
Fit input $W\rightarrow \mu\nu$,2.8,0.4,-0.4
Fit input $W\rightarrow \tau\nu$,0.3,0.05,-0.05
Fit input VBF $W$+jets,1.0,1.4,-1.4
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,1.0,0.4,-0.4
Fit input single-$t$,8.0,9.0,-9.0
Fit input dibosons,0.2,0.16,-0.16
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM12,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),18.0,0,0
SM prediction (post-fit),15.6,1.6,-1.6
