#: table_doi: 10.17182/hepdata.102093.v1/t34
#: name: Contour g_obs_p1 TT_bffN
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ up observed excluded regions at the 95% CL in the ($\tilde{t}_1,\tilde{\chi}^{0}_{1}$)mass plane for the decay channel $\tilde{t}_1 \to  b + ff^{'} + \tilde{\chi}^{0}_{1}$ ($\mathcal{B}=100\%$)
#: data_file: contour_g_obs_p1_tt_bffn.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
mt1 [GeV],mn1 [GeV]
331.0,300.0
536.87,529.87
536.98,529.98
536.99,531.99
300.0,295.0

