#: table_doi: 10.17182/hepdata.102093.v1/t76
#: name: Table yields EM5
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM5.
#: data_file: table_yields_em5.yaml
#: keyword phrases: Exclusive EM5 region
#: keyword cmenergies: 13000.0
EM5,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),29458.0,0,0
SM prediction (post-fit),29200.0,400.0,-400.0
Fitted $W\rightarrow e\nu$,970.0,60.0,-60.0
Fitted $W\rightarrow \mu\nu$,1463.0,33.0,-33.0
Fitted $W\rightarrow\tau\nu$,3890.0,80.0,-80.0
Fitted VBF $W$+jets,360.0,60.0,-60.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,15.0,0.4,-0.4
Fitted $Z\rightarrow \tau\tau$,27.2,0.8,-0.8
Fitted $Z\rightarrow \nu\nu$,20200.0,400.0,-400.0
Fitted VBF $Z$+jets,850.0,130.0,-130.0
Fitted $t\bar{t}$,415.0,32.0,-32.0
Fitted single-$t$,80.0,40.0,-40.0
Fitted dibosons,910.0,160.0,-160.0
multijet,4.0,4.0,-4.0
noncollision background,15.0,15.0,-15.0
MC exp. SM events,26000.0,1300.0,-1300.0
Fit input $W\rightarrow e\nu$,860.0,70.0,-70.0
Fit input $W\rightarrow \mu\nu$,1290.0,70.0,-70.0
Fit input $W\rightarrow \tau\nu$,3460.0,180.0,-180.0
Fit input VBF $W$+jets,270.0,80.0,-80.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,13.3,0.5,-0.5
Fit input $Z\rightarrow \tau\tau$,24.1,0.9,-0.9
Fit input $Z\rightarrow \nu\nu$,17900.0,900.0,-900.0
Fit input VBF $Z$+jets,660.0,170.0,-170.0
Fit input $t\bar{t}$,480.0,80.0,-80.0
Fit input single-$t$,130.0,80.0,-80.0
Fit input dibosons,930.0,190.0,-190.0
Fit input multijet,4.0,4.0,-4.0
Fit input noncollision background,15.0,15.0,-15.0

EM5,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),15339.0,0,0
SM prediction (post-fit),15670.0,70.0,-70.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,12810.0,160.0,-160.0
Fitted $W\rightarrow\tau\nu$,887.0,14.0,-14.0
Fitted VBF $W$+jets,750.0,120.0,-120.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,116.0,1.6,-1.6
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,430.0,40.0,-40.0
Fitted single-$t$,120.0,60.0,-60.0
Fitted dibosons,550.0,100.0,-100.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,14200.0,800.0,-800.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,11500.0,600.0,-600.0
Fit input $W\rightarrow \tau\nu$,790.0,40.0,-40.0
Fit input VBF $W$+jets,580.0,160.0,-160.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,104.0,5.0,-5.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,500.0,70.0,-70.0
Fit input single-$t$,200.0,130.0,-130.0
Fit input dibosons,570.0,120.0,-120.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM5,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),11695.0,0,0
SM prediction (post-fit),11790.0,70.0,-70.0
Fitted $W\rightarrow e\nu$,9400.0,120.0,-120.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,761.0,13.0,-13.0
Fitted VBF $W$+jets,609.0,100.0,-100.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,37.5,1.1,-1.1
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,490.0,40.0,-40.0
Fitted single-$t$,90.0,50.0,-50.0
Fitted dibosons,410.0,70.0,-70.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,10700.0,600.0,-600.0
Fit input $W\rightarrow e\nu$,8400.0,500.0,-500.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,680.0,40.0,-40.0
Fit input VBF $W$+jets,470.0,130.0,-130.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,33.4,1.2,-1.2
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,560.0,70.0,-70.0
Fit input single-$t$,200.0,130.0,-130.0
Fit input dibosons,420.0,90.0,-90.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM5,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),2596.0,0,0
SM prediction (post-fit),2576.0,30.0,-30.0
Fitted $W\rightarrow e\nu$,346.0,18.0,-18.0
Fitted $W\rightarrow \mu\nu$,490.0,25.0,-25.0
Fitted $W\rightarrow\tau\nu$,62.2,3.0,-3.0
Fitted VBF $W$+jets,84.0,21.0,-21.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,5.77,0.18,-0.18
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,1348.0,100.0,-100.0
Fitted single-$t$,190.0,110.0,-110.0
Fitted dibosons,55.0,13.0,-13.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,3000.0,500.0,-500.0
Fit input $W\rightarrow e\nu$,308.0,25.0,-25.0
Fit input $W\rightarrow \mu\nu$,439.0,34.0,-34.0
Fit input $W\rightarrow \tau\nu$,55.0,4.0,-4.0
Fit input VBF $W$+jets,52.0,27.0,-27.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,5.12,0.19,-0.19
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,1530.0,300.0,-300.0
Fit input single-$t$,500.0,400.0,-400.0
Fit input dibosons,57.0,16.0,-16.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM5,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),2388.0,0,0
SM prediction (post-fit),2317.0,21.0,-21.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,2072.0,30.0,-30.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,101.0,17.0,-17.0
Fitted $t\bar{t}$,39.0,6.0,-6.0
Fitted single-$t$,1.9,1.6,-1.6
Fitted dibosons,103.0,21.0,-21.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,2090.0,120.0,-120.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,1850.0,100.0,-100.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,77.0,22.0,-22.0
Fit input $t\bar{t}$,42.0,20.0,-20.0
Fit input single-$t$,14.0,12.0,-12.0
Fit input dibosons,107.0,25.0,-25.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM5,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),2476.0,0,0
SM prediction (post-fit),2430.0,22.0,-22.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,2207.0,30.0,-30.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,100.0,16.0,-16.0
Fitted $t\bar{t}$,28.0,5.0,-5.0
Fitted single-$t$,0.7,0.7,-0.7
Fitted dibosons,95.0,18.0,-18.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,2140.0,150.0,-150.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,1930.0,130.0,-130.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
