#: table_doi: 10.17182/hepdata.102093.v1/t88
#: name: Table yields IM4
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM4.
#: data_file: table_yields_im4.yaml
#: keyword phrases: Inclusive IM4 region
#: keyword cmenergies: 13000.0
IM4,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),149743.0,0,0
SM prediction (post-fit),146400.0,2300.0,-2300.0
Fitted $W\rightarrow e\nu$,5420.0,350.0,-350.0
Fitted $W\rightarrow \mu\nu$,8190.0,200.0,-200.0
Fitted $W\rightarrow\tau\nu$,21400.0,400.0,-400.0
Fitted VBF $W$+jets,1300.0,400.0,-400.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,99600.0,2300.0,-2300.0
Fitted VBF $Z$+jets,3000.0,800.0,-800.0
Fitted top,2940.0,220.0,-220.0
Fitted dibosons,4400.0,900.0,-900.0
multijet,60.0,60.0,-60.0
noncollision background,70.0,70.0,-70.0
MC exp. SM events,131000.0,7000.0,-7000.0
Fit input $W\rightarrow e\nu$,4800.0,400.0,-400.0
Fit input $W\rightarrow \mu\nu$,7200.0,400.0,-400.0
Fit input $W\rightarrow \tau\nu$,18900.0,1000.0,-1000.0
Fit input VBF $W$+jets,1230.0,350.0,-350.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,88000.0,4000.0,-4000.0
Fit input VBF $Z$+jets,2900.0,700.0,-700.0
Fit input top,3700.0,700.0,-700.0
Fit input dibosons,4400.0,900.0,-900.0
Fit input multijet,60.0,60.0,-60.0
Fit input noncollision background,70.0,70.0,-70.0

IM4,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),76358.0,0,0
SM prediction (post-fit),76460.0,270.0,-270.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,63300.0,900.0,-900.0
Fitted $W\rightarrow\tau\nu$,4250.0,70.0,-70.0
Fitted VBF $W$+jets,2600.0,700.0,-700.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,620.0,11.0,-11.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,3120.0,260.0,-260.0
Fitted dibosons,2600.0,500.0,-500.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,70000.0,4000.0,-4000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,56200.0,2900.0,-2900.0
Fit input $W\rightarrow \tau\nu$,3750.0,200.0,-200.0
Fit input VBF $W$+jets,2600.0,700.0,-700.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,546.0,28.0,-28.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,3900.0,800.0,-800.0
Fit input dibosons,2600.0,600.0,-600.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM4,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),55666.0,0,0
SM prediction (post-fit),55570.0,230.0,-230.0
Fitted $W\rightarrow e\nu$,44900.0,700.0,-700.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,3560.0,70.0,-70.0
Fitted VBF $W$+jets,2000.0,600.0,-600.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,158.0,7.0,-7.0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,3030.0,270.0,-270.0
Fitted dibosons,1900.0,400.0,-400.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,50100.0,2700.0,-2700.0
Fit input $W\rightarrow e\nu$,39300.0,2100.0,-2100.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,3140.0,170.0,-170.0
Fit input VBF $W$+jets,2000.0,500.0,-500.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,139.0,5.0,-5.0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,3800.0,700.0,-700.0
Fit input dibosons,1800.0,400.0,-400.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM4,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),13617.0,0,0
