#: table_doi: 10.17182/hepdata.102093.v1/t81
#: name: Table yields EM10
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM10.
#: data_file: table_yields_em10.yaml
#: keyword phrases: Exclusive EM10 region
#: keyword cmenergies: 13000.0
EM10,SR,stat+syst +,stat+syst -
EM10,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),234.0,0,0
SSM prediction (post-fit),205.0,5.0,-5.0
Fitted $W\rightarrow e\nu$,153.0,6.0,-6.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,11.8,0.5,-0.5
Fitted VBF $W$+jets,22.0,6.0,-6.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,0.3,0.02,-0.02
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,6.6,0.9,-0.9
Fitted single-$t$,0.01,0.015,-0.015
Fitted dibosons,11.0,2.8,-2.8
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,185.0,16.0,-16.0
Fit input $W\rightarrow e\nu$,136.0,10.0,-10.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,10.5,0.8,-0.8
Fit input VBF $W$+jets,14.0,7.0,-7.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,0.2,0.02,-0.02
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,7.5,2.2,-2.2
Fit input single-$t$,6.0,6.0,-6.0
Fit input dibosons,11.1,3.3,-3.3
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM10,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),19.0,0,0
SSM prediction (post-fit),21.1,2.3,-2.3
Fitted $W\rightarrow e\nu$,5.4,0.6,-0.6
Fitted $W\rightarrow \mu\nu$,5.3,0.6,-0.6
Fitted $W\rightarrow\tau\nu$,0.9,0.09,-0.09
Fitted VBF $W$+jets,4.0,2.3,-2.3
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,0.06,0.01,-0.01
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,4.8,0.8,-0.8
Fitted single-$t$,-,0,0
Fitted dibosons,0.5,0.26,-0.26
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,26.0,9.0,-9.0
Fit input $W\rightarrow e\nu$,5.0,0.7,-0.7
Fit input $W\rightarrow \mu\nu$,4.9,0.6,-0.6
Fit input $W\rightarrow \tau\nu$,0.8,0.1,-0.1
Fit input VBF $W$+jets,1.6,1.8,-1.8
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,0.06,0.01,-0.01
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,5.4,2.4,-2.4
Fit input single-$t$,7.0,8.0,-8.0
Fit input dibosons,0.6,0.33,-0.33
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM10,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),23.0,0,0
SSM prediction (post-fit),27.8,1.5,-1.5
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,23.3,1.5,-1.5
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,2.7,0.8,-0.8
Fitted $t\bar{t}$,-,0,0
Fitted single-$t$,-,0,0
Fitted dibosons,1.8,0.6,-0.6
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,25.0,3.0,-3.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,21.4,2.4,-2.4
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,1.7,1.0,-1.0
Fit input $t\bar{t}$,-,0,0
Fit input single-$t$,-,0,0
Fit input dibosons,1.9,0.7,-0.7
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM10,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),32.0,0,0
SSM prediction (post-fit),37.6,1.3,-1.3
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,32.2,1.4,-1.4
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,3.4,1.0,-1.0
Fitted $t\bar{t}$,0.1,0.03,-0.03
Fitted single-$t$,0.01,0.015,-0.015
Fitted dibosons,1.9,0.6,-0.6
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,33.3,3.4,-3.4
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,28.6,2.8,-2.8
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,2.1,1.1,-1.1
Fit input $t\bar{t}$,0.1,0.08,-0.08
Fit input single-$t$,0.6,0.6,-0.6
Fit input dibosons,1.9,0.7,-0.7
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

