#: table_doi: 10.17182/hepdata.102093.v1/t67
#: name: Contour exp_m2 DMV
#: description: 2 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_exp_m2_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,164.0
1287.1,638.53
1538.5,764.27
1693.1,841.53
1869.0,866.67
2000.0,848.43
2191.7,807.18
2333.7,750.0
2334.6,724.61
2356.2,600.0
2367.1,576.59
2365.1,500.0
2358.8,489.12
2367.1,450.0
2371.4,437.86
2368.8,400.0
2373.3,362.33
2377.0,350.0
2382.6,336.74
2387.1,300.0
2396.2,285.38
2399.9,250.0
2400.9,234.91
2398.3,200.0
2397.0,185.3
2401.0,150.0
2397.9,135.21
2394.6,100.0
2400.9,1.0

