#: table_doi: 10.17182/hepdata.102093.v1/t78
#: name: Table yields EM7
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM7.
#: data_file: table_yields_em7.yaml
#: keyword phrases: Exclusive EM7 region
#: keyword cmenergies: 13000.0
EM7,SR,stat+syst +,stat+syst -
Fitted $t\bar{t}$,57.0,6.0,-6.0
Fitted single-$t$,5.0,4.0,-4.0
Fitted dibosons,92.0,18.0,-18.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,1690.0,110.0,-110.0
Fit input $W\rightarrow e\nu$,1290.0,80.0,-80.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,106.0,7.0,-7.0
Fit input VBF $W$+jets,98.0,34.0,-34.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,4.5,0.2,-0.2
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,66.0,9.0,-9.0
Fit input single-$t$,31.0,26.0,-26.0
Fit input dibosons,94.0,22.0,-22.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM7,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),305.0,0,0
SM prediction (post-fit),286.0,10.0,-10.0
Fitted $W\rightarrow e\nu$,55.0,4.0,-4.0
Fitted $W\rightarrow \mu\nu$,66.0,4.0,-4.0
Fitted $W\rightarrow\tau\nu$,10.4,0.6,-0.6
Fitted VBF $W$+jets,20.0,7.0,-7.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,0.8,0.04,-0.04
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,119.0,12.0,-12.0
Fitted single-$t$,5.0,5.0,-5.0
Fitted dibosons,10.5,3.3,-3.3
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,360.0,90.0,-90.0
Fit input $W\rightarrow e\nu$,49.0,5.0,-5.0
Fit input $W\rightarrow \mu\nu$,59.0,5.0,-5.0
Fit input $W\rightarrow \tau\nu$,9.2,0.8,-0.8
Fit input VBF $W$+jets,10.0,8.0,-8.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,0.7,0.04,-0.04
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,130.0,40.0,-40.0
Fit input single-$t$,90.0,80.0,-80.0
Fit input dibosons,11.0,4.0,-4.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM7,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),306.0,0,0
SM prediction (post-fit),309.0,7.0,-7.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,269.0,8.0,-8.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,21.0,4.0,-4.0
Fitted $t\bar{t}$,2.2,0.5,-0.5
Fitted single-$t$,-,0,0
Fitted dibosons,16.0,4.0,-4.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,280.0,20.0,-20.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,243.0,17.0,-17.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,15.0,6.0,-6.0
Fit input $t\bar{t}$,2.4,1.5,-1.5
Fit input single-$t$,2.3,2.4,-2.4
Fit input dibosons,17.0,5.0,-5.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM7,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),357.0,0,0
SM prediction (post-fit),367.0,6.0,-6.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,322.0,7.0,-7.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,22.0,5.0,-5.0
Fitted $t\bar{t}$,4.8,1.0,-1.0
Fitted single-$t$,0.01,0.015,-0.015
Fitted dibosons,18.0,4.0,-4.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,324.0,25.0,-25.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,284.0,22.0,-22.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,16.0,6.0,-6.0
Fit input $t\bar{t}$,5.2,3.1,-3.1
Fit input single-$t$,0.7,0.7,-0.7
Fit input dibosons,19.0,5.0,-5.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

