#: table_doi: 10.17182/hepdata.102093.v1/t21
#: name: Contour exp_m1 DMP
#: description: 1 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_exp_m1_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
1.0,3.3085
10.992,7.2417
12.976,8.0036
12.986,8.0075
14.96,8.7654
15.593,9.0085
16.944,9.5272
18.2,10.009
18.928,10.289
20.912,11.051
100.27,45.672
197.64,96.096
199.47,96.917
199.87,97.097
201.45,97.808
202.1,98.098
349.16,170.17
350.25,170.68
351.32,171.17
352.23,171.62
353.46,172.17
354.22,172.54
355.64,173.17
356.2,173.44
357.86,174.17
358.19,174.33
360.12,175.18
360.17,175.2
362.15,175.84
363.27,176.18
364.14,176.44
366.12,177.03
366.59,177.18
368.11,177.63
369.91,178.18
370.09,178.23
372.07,178.83
373.23,179.18
374.06,179.43
376.04,179.95
376.63,180.18
378.03,180.57
379.87,181.18
380.01,181.22
381.99,181.48
383.98,182.12
385.96,181.7
387.95,181.28
388.44,181.18
389.93,180.87
391.91,180.45
393.19,180.18
393.9,180.03
395.88,179.61
397.22,179.18
397.87,178.69
398.55,178.18
399.85,177.19
399.87,177.18
401.19,176.18
401.83,175.69
402.51,175.18
403.82,174.19
403.83,174.17
405.15,173.17
405.8,172.68
406.48,172.17
407.33,171.17
407.79,170.5
408.0,170.17
408.68,169.17
409.35,168.17
409.77,167.55
410.03,167.17
410.7,166.17
411.49,165.16
411.75,164.84
412.31,164.16
413.13,163.16
413.74,162.43
413.95,162.16
414.77,161.16
415.6,160.16
415.72,160.01
416.42,159.16
417.24,158.16
417.7,157.59
418.06,157.16
418.88,156.16
419.69,155.17
419.7,155.16
420.51,154.15
421.31,153.15
421.67,152.7
422.11,152.15
422.91,151.15
423.66,150.21
423.71,150.15
424.21,149.15
424.66,148.15
425.11,147.15
425.56,146.15
425.64,145.97
426.01,145.15
426.46,144.14
426.91,143.14
427.36,142.14
427.62,141.56
427.81,141.14
428.26,140.14
428.71,139.14
429.17,138.14
429.61,137.15
429.62,137.14
429.89,136.14
430.02,135.13
430.15,134.13
430.28,133.13
430.41,132.13
430.55,131.13
430.68,130.13
430.81,129.13
430.94,128.13
431.07,127.13
431.21,126.13
431.34,125.12
435.06,101.1
435.56,100.55
435.97,100.1
438.77,75.075
441.26,50.05
441.39,49.049
441.47,48.048
441.51,47.512
441.55,47.047
441.63,46.046
441.71,45.045
441.79,44.044
441.87,43.043
441.95,42.042
442.03,41.041
442.11,40.04
442.19,39.039
442.27,38.038
442.35,37.037
442.43,36.036
442.51,35.035
442.55,34.034
442.55,33.033
442.56,32.032
442.57,31.031
442.57,30.03
442.58,29.029
442.58,28.028
442.59,27.027
442.6,26.026
442.6,25.024
443.01,1.0005

