#: table_doi: 10.17182/hepdata.102093.v1/t60
#: name: Contour obs DMV
#: description: Observed exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_obs_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,130.0
752.62,381.31
1172.5,581.25
1331.7,660.82
1358.4,674.21
1500.0,697.48
1642.4,747.85
1768.5,768.14
1914.7,750.0
2000.0,636.96
2016.1,600.0
2015.7,593.7
2022.5,500.0
2030.4,456.09
2033.8,450.0
2037.0,407.39
2035.8,400.0
2039.6,357.91
2041.9,350.0
2044.4,341.12
2056.7,300.0
2059.3,288.13
2050.9,250.0
2049.2,240.17
2062.8,200.0
2066.1,186.77
2048.7,150.0
2046.4,140.71
2059.3,100.0
2058.5,88.295
2058.2,1.0

