#: table_doi: 10.17182/hepdata.102093.v1/t3
#: name: Histogram CR1e0b
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the $W \rightarrow e \nu$ control region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_cr1e0b.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,338998.0
275.0,250.0,300.0,174890.0
325.0,300.0,350.0,86339.0
375.0,350.0,400.0,43781.0
450.0,400.0,500.0,36025.0
550.0,500.0,600.0,11695.0
650.0,600.0,700.0,4392.0
750.0,700.0,800.0,1868.0
850.0,800.0,900.0,817.0
950.0,900.0,1000.0,389.0
1050.0,1000.0,1100.0,234.0
1150.0,1100.0,1200.0,121.0
1250.0,1200.0,1300.0,125.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,339320.0,919.53,-919.53
275.0,250.0,300.0,175010.0,468.15,-468.15
325.0,300.0,350.0,86258.0,259.82,-259.82
375.0,350.0,400.0,43709.0,134.03,-134.03
450.0,400.0,500.0,35724.0,133.42,-133.42
550.0,500.0,600.0,11792.0,69.19,-69.19
650.0,600.0,700.0,4384.0,36.47,-36.47
750.0,700.0,800.0,1861.8,25.28,-25.28
850.0,800.0,900.0,836.38,13.87,-13.87
950.0,900.0,1000.0,399.36,9.09,-9.09
1050.0,1000.0,1100.0,204.85,5.14,-5.14
1150.0,1100.0,1200.0,105.8,3.31,-3.31
1250.0,1200.0,1300.0,125.15,5.08,-5.08

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow ll)$+jets events
225.0,200.0,250.0,965.69
275.0,250.0,300.0,468.45
325.0,300.0,350.0,199.96
375.0,350.0,400.0,106.16
450.0,400.0,500.0,98.52
550.0,500.0,600.0,37.48
650.0,600.0,700.0,12.02
750.0,700.0,800.0,5.03
850.0,800.0,900.0,1.69
950.0,900.0,1000.0,0.83
1050.0,1000.0,1100.0,0.3
1150.0,1100.0,1200.0,0.17
1250.0,1200.0,1300.0,0.09

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,307980.0
275.0,250.0,300.0,154770.0
325.0,300.0,350.0,75371.0
375.0,350.0,400.0,37984.0
450.0,400.0,500.0,31016.0
550.0,500.0,600.0,10159.0
650.0,600.0,700.0,3750.4
750.0,700.0,800.0,1565.9
850.0,800.0,900.0,698.83
950.0,900.0,1000.0,324.1
1050.0,1000.0,1100.0,165.13
1150.0,1100.0,1200.0,84.53
1250.0,1200.0,1300.0,95.38

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,4902.9
275.0,250.0,300.0,3385.1
325.0,300.0,350.0,2103.1
375.0,350.0,400.0,1329.3
450.0,400.0,500.0,1374.4
550.0,500.0,600.0,608.58
650.0,600.0,700.0,270.1
750.0,700.0,800.0,136.4
850.0,800.0,900.0,72.27
950.0,900.0,1000.0,37.28
1050.0,1000.0,1100.0,21.83
1150.0,1100.0,1200.0,14.09
1250.0,1200.0,1300.0,19.98

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,21068.0
275.0,250.0,300.0,13238.0
325.0,300.0,350.0,6718.1
375.0,350.0,400.0,3155.5
450.0,400.0,500.0,2168.9
550.0,500.0,600.0,579.62
650.0,600.0,700.0,182.98
750.0,700.0,800.0,62.76
850.0,800.0,900.0,24.04
950.0,900.0,1000.0,16.08
1050.0,1000.0,1100.0,6.61
1150.0,1100.0,1200.0,2.03
1250.0,1200.0,1300.0,6.07

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,4406.2
275.0,250.0,300.0,3147.9
325.0,300.0,350.0,1865.8
375.0,350.0,400.0,1134.1
450.0,400.0,500.0,1065.7
550.0,500.0,600.0,407.56
650.0,600.0,700.0,168.45
750.0,700.0,800.0,91.77
850.0,800.0,900.0,39.55
950.0,900.0,1000.0,21.06
1050.0,1000.0,1100.0,10.97
1150.0,1100.0,1200.0,4.99
1250.0,1200.0,1300.0,3.63

