#: table_doi: 10.17182/hepdata.102093.v1/t15
#: name: Contour exp_m2 DMA
#: description: 2 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_exp_m2_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,155.92
23.859,156.53
40.03,159.09
45.883,160.02
60.05,162.27
67.907,163.52
80.07,165.45
89.931,167.01
100.09,168.62
111.95,170.51
120.11,171.89
131.24,174.0
140.13,175.71
149.43,177.5
160.15,179.56
167.62,180.99
180.17,183.4
185.81,184.49
200.19,187.25
204.0,187.98
220.21,191.1
222.19,191.48
240.23,194.94
240.38,194.97
258.57,198.47
260.25,198.75
278.96,201.96
280.27,202.17
300.29,205.34
300.68,205.46
318.51,208.95
320.31,209.24
329.77,212.45
340.33,215.08
343.25,215.94
355.07,219.44
360.35,221.0
366.9,222.93
378.73,226.43
380.37,226.91
390.47,229.92
400.39,232.88
401.64,233.42
409.77,236.91
417.9,240.41
420.41,241.49
426.11,243.9
434.6,247.4
440.43,249.17
446.37,250.89
458.47,254.39
460.45,254.99
469.96,257.88
480.47,261.08
481.46,261.38
493.02,264.87
500.49,267.13
691.4,345.26
1001.0,477.77
1201.2,554.48
1501.5,664.52
1761.8,727.51
1781.8,728.57
1801.8,729.63
1803.2,729.71
1821.8,730.69
1841.8,731.76
1861.8,732.82
1869.0,733.2
1881.9,733.88
1901.9,734.94
1921.9,735.86
1941.9,735.61
1962.0,733.44
1964.1,733.2
1982.0,731.26
1994.0,729.71
2002.0,728.68
2009.9,726.21
2021.0,722.72
2022.0,722.41
2032.2,719.22
2042.0,716.14
2043.4,715.73
2054.5,712.23
2062.1,709.87
2065.7,708.74
2076.8,705.24
2082.1,703.6
2088.0,701.75
2096.5,698.25
2102.1,694.93
2102.4,694.76
2108.3,691.26
2114.1,687.77
2120.0,684.27
2122.1,683.02
2125.9,680.78
2131.8,677.28
2137.8,673.79
2142.1,671.31
2143.9,670.29
2150.5,666.8
2157.2,663.3
2162.2,660.71
2163.9,659.81
2170.6,656.31
2177.2,652.82
2182.2,650.2
2183.8,649.32
2190.2,645.83
2196.7,642.33
2202.2,639.3
2203.1,638.84
2209.5,635.34
2215.9,631.85
2222.2,628.38
2222.3,628.35
2228.7,624.86
2235.1,621.36
2241.5,617.87
2242.2,617.46
2245.2,614.37
2248.5,610.88
2251.8,607.38
2255.2,603.89
2258.5,600.39
2261.9,596.9
2262.2,596.33
2263.8,593.4
2265.6,589.91
2267.5,586.41
2269.3,582.92
2271.1,579.42
2273.0,575.93
2274.8,572.43
2276.6,568.94
2278.5,565.44
2280.3,561.95
2282.2,558.45
2282.3,558.21
2284.0,554.96
2285.8,551.46
2310.5,453.6
2312.8,450.11
2335.9,352.25
2339.1,348.75
2342.3,346.15
2343.4,345.26
2344.1,341.76
2344.6,338.27
2345.1,334.77
2345.7,331.28
2346.2,327.78
2346.7,324.29
2346.7,320.79
2348.2,317.3
2349.9,313.8
2351.7,310.31
2353.4,306.81
2355.2,303.32
2373.0,250.89
2394.1,121.58
2402.6,2.7475

