#: table_doi: 10.17182/hepdata.102093.v1/t89
#: name: Table yields IM5
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM5.
#: data_file: table_yields_im5.yaml
#: keyword phrases: Inclusive IM5 region
#: keyword cmenergies: 13000.0
IM5,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),46855.0,0,0
SM prediction (post-fit),45550.0,1000.0,-1000.0
Fitted $W\rightarrow e\nu$,1409.0,100.0,-100.0
Fitted $W\rightarrow \mu\nu$,2220.0,70.0,-70.0
Fitted $W\rightarrow\tau\nu$,5890.0,160.0,-160.0
Fitted VBF $W$+jets,450.0,160.0,-160.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,32100.0,1000.0,-1000.0
Fitted VBF $Z$+jets,1210.0,350.0,-350.0
Fitted top,610.0,70.0,-70.0
Fitted dibosons,1600.0,400.0,-400.0
multijet,5.0,5.0,-5.0
noncollision background,23.0,23.0,-23.0
MC exp. SM events,41100.0,2100.0,-2100.0
Fit input $W\rightarrow e\nu$,1260.0,100.0,-100.0
Fit input $W\rightarrow \mu\nu$,1980.0,110.0,-110.0
Fit input $W\rightarrow \tau\nu$,5250.0,280.0,-280.0
Fit input VBF $W$+jets,450.0,150.0,-150.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,28500.0,1500.0,-1500.0
Fit input VBF $Z$+jets,1200.0,350.0,-350.0
Fit input top,840.0,190.0,-190.0
Fit input dibosons,1610.0,350.0,-350.0
Fit input multijet,5.0,5.0,-5.0
Fit input noncollision background,23.0,23.0,-23.0

IM5,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),24610.0,0,0
SM prediction (post-fit),24660.0,150.0,-150.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,20300.0,400.0,-400.0
Fitted $W\rightarrow\tau\nu$,1403.0,32.0,-32.0
Fitted VBF $W$+jets,1060.0,320.0,-320.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,182.0,5.0,-5.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,770.0,90.0,-90.0
Fitted dibosons,1000.0,230.0,-230.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,22700.0,1300.0,-1300.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,18150.0,1000.0,-1000.0
Fit input $W\rightarrow \tau\nu$,1260.0,70.0,-70.0
Fit input VBF $W$+jets,1050.0,320.0,-320.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,161.0,9.0,-9.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,1070.0,300.0,-300.0
Fit input dibosons,990.0,230.0,-230.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM5,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),19641.0,0,0
SM prediction (post-fit),19600.0,130.0,-130.0
Fitted $W\rightarrow e\nu$,15710.0,320.0,-320.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,1276.0,31.0,-31.0
Fitted VBF $W$+jets,890.0,280.0,-280.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,57.9,2.8,-2.8
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,890.0,120.0,-120.0
Fitted dibosons,780.0,170.0,-170.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,17900.0,1000.0,-1000.0
Fit input $W\rightarrow e\nu$,13900.0,800.0,-800.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,1130.0,60.0,-60.0
Fit input VBF $W$+jets,870.0,280.0,-280.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,51.3,1.9,-1.9
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,1210.0,290.0,-290.0
Fit input dibosons,760.0,170.0,-170.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM5,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),3868.0,0,0
SM prediction (post-fit),3870.0,90.0,-90.0
