#: table_doi: 10.17182/hepdata.102093.v1/t23
#: name: Contour exp_m2 DMP
#: description: 2 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_exp_m2_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
0.32,1.4858
1.0,4.6558
10.992,8.6168
12.012,9.0085
12.976,9.3787
100.27,48.079
201.45,99.202
350.25,173.09
393.9,187.02
394.45,187.19
395.88,187.62
397.76,188.19
397.87,188.22
399.85,188.78
401.08,189.19
401.83,189.41
403.82,189.85
404.79,190.19
405.8,190.43
407.72,191.19
407.79,191.21
408.66,191.19
409.77,190.97
411.75,190.55
413.47,190.19
413.74,190.13
415.72,189.72
417.7,189.3
418.22,189.19
419.69,188.88
421.67,188.46
422.98,188.19
423.66,188.04
425.64,187.63
427.62,187.21
427.73,187.19
429.61,186.79
431.59,186.31
431.94,186.19
433.26,185.19
433.58,184.94
434.58,184.18
435.56,183.44
435.9,183.18
437.22,182.18
437.55,181.94
438.54,181.18
439.53,180.44
439.87,180.18
441.19,179.18
441.51,178.93
442.51,178.18
443.5,177.43
443.83,177.18
445.15,176.18
445.48,175.93
446.48,175.18
447.46,174.43
447.8,174.17
449.04,173.17
449.45,172.56
449.71,172.17
450.38,171.17
451.06,170.17
451.43,169.62
451.73,169.17
452.41,168.17
453.08,167.17
453.42,166.67
453.75,166.17
454.43,165.16
455.1,164.16
455.4,163.72
455.78,163.16
456.57,162.16
457.38,161.16
457.39,161.16
458.21,160.16
459.03,159.16
459.37,158.75
459.85,158.16
460.67,157.16
461.35,156.3
461.47,156.16
462.26,155.16
463.06,154.15
463.34,153.81
463.86,153.15
464.66,152.15
465.32,151.32
465.46,151.15
466.26,150.15
466.76,149.15
467.21,148.15
467.31,147.94
467.66,147.15
468.11,146.15
468.56,145.15
469.01,144.14
469.29,143.53
469.46,143.14
469.91,142.14
470.36,141.14
470.81,140.14
471.26,139.14
471.27,139.12
471.71,138.14
472.17,137.14
472.62,136.14
473.07,135.13
473.26,134.71
473.52,134.13
473.97,133.13
474.42,132.13
474.87,131.13
475.24,130.3
475.32,130.13
475.77,129.13
475.93,128.13
476.06,127.13
476.19,126.13
476.33,125.12
482.89,100.1
487.05,74.074
491.39,40.04
491.47,39.039
491.55,38.038
491.63,37.037
491.71,36.036
491.79,35.035
491.87,34.034
491.95,33.033
492.03,32.032
492.11,31.031
492.19,30.03
492.27,29.029
492.35,28.028
492.43,27.027
492.49,26.026
492.5,25.024
493.11,1.0005

