#: table_doi: 10.17182/hepdata.102093.v1/t93
#: name: Table yields IM9
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM9.
#: data_file: table_yields_im9.yaml
#: keyword phrases: Inclusive IM9 region
#: keyword cmenergies: 13000.0
IM9,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),1545.0,0,0
SM prediction (post-fit),1560.0,80.0,-80.0
Fitted $W\rightarrow e\nu$,28.0,2.5,-2.5
Fitted $W\rightarrow \mu\nu$,75.0,5.0,-5.0
Fitted $W\rightarrow\tau\nu$,156.0,10.0,-10.0
Fitted VBF $W$+jets,21.0,14.0,-14.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,1130.0,80.0,-80.0
Fitted VBF $Z$+jets,70.0,29.0,-29.0
Fitted top,5.0,5.0,-5.0
Fitted dibosons,72.0,21.0,-21.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,1336.0,100.0,-100.0
Fit input $W\rightarrow e\nu$,23.1,2.2,-2.2
Fit input $W\rightarrow \mu\nu$,62.0,4.0,-4.0
Fit input $W\rightarrow \tau\nu$,128.0,10.0,-10.0
Fit input VBF $W$+jets,21.0,14.0,-14.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,940.0,70.0,-70.0
Fit input VBF $Z$+jets,71.0,29.0,-29.0
Fit input top,13.0,9.0,-9.0
Fit input dibosons,74.0,22.0,-22.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM9,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),846.0,0,0
SM prediction (post-fit),847.0,24.0,-24.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,670.0,40.0,-40.0
Fitted $W\rightarrow\tau\nu$,51.9,3.1,-3.1
Fitted VBF $W$+jets,59.0,30.0,-30.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,5.7,0.4,-0.4
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,13.0,12.0,-12.0
Fitted dibosons,44.0,13.0,-13.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,750.0,70.0,-70.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,560.0,50.0,-50.0
Fit input $W\rightarrow \tau\nu$,43.0,3.5,-3.5
Fit input VBF $W$+jets,61.0,31.0,-31.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,4.8,0.4,-0.4
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,33.0,23.0,-23.0
Fit input dibosons,46.0,14.0,-14.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM9,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),869.0,0,0
SM prediction (post-fit),859.0,27.0,-27.0
Fitted $W\rightarrow e\nu$,690.0,40.0,-40.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,49.4,2.9,-2.9
Fitted VBF $W$+jets,60.0,30.0,-30.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,23.0,25.0,-25.0
Fitted dibosons,41.0,11.0,-11.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,760.0,70.0,-70.0
Fit input $W\rightarrow e\nu$,560.0,50.0,-50.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,40.5,3.3,-3.3
Fit input VBF $W$+jets,60.0,30.0,-30.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,58.0,26.0,-26.0
Fit input dibosons,42.0,12.0,-12.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM9,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),93.0,0,0
SM prediction (post-fit),94.0,20.0,-20.0
Fitted $W\rightarrow e\nu$,23.5,3.1,-3.1
Fitted $W\rightarrow \mu\nu$,25.5,3.4,-3.4
Fitted $W\rightarrow\tau\nu$,4.8,0.6,-0.6
Fitted VBF $W$+jets,6.0,7.0,-7.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,27.0,24.0,-24.0
Fitted dibosons,6.6,3.3,-3.3
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,130.0,60.0,-60.0
Fit input $W\rightarrow e\nu$,19.7,2.6,-2.6
Fit input $W\rightarrow \mu\nu$,21.6,2.8,-2.8
Fit input $W\rightarrow \tau\nu$,4.0,0.5,-0.5
Fit input VBF $W$+jets,6.0,8.0,-8.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,70.0,60.0,-60.0
Fit input dibosons,6.9,3.5,-3.5
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM9,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),111.0,0,0
SM prediction (post-fit),116.0,8.0,-8.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,101.0,8.0,-8.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,7.0,4.0,-4.0
Fitted top,0.2,0.28,-0.28
Fitted dibosons,8.0,2.8,-2.8
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,105.0,12.0,-12.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,88.0,10.0,-10.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
