#: table_doi: 10.17182/hepdata.102093.v1/t4
#: name: Histogram CR1L1b
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the top control region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_cr1l1b.yaml
#: keyword cmenergies: 13000.0
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,106425.0
275.0,250.0,300.0,62421.0
325.0,300.0,350.0,29551.0
375.0,350.0,400.0,13592.0
450.0,400.0,500.0,9749.0
550.0,500.0,600.0,2596.0
650.0,600.0,700.0,767.0
750.0,700.0,800.0,305.0
850.0,800.0,900.0,107.0
950.0,900.0,1000.0,51.0
1050.0,1000.0,1100.0,19.0
1150.0,1100.0,1200.0,13.0
1250.0,1200.0,1300.0,10.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,106520.0,611.74,-611.74
275.0,250.0,300.0,62253.0,296.32,-296.32
325.0,300.0,350.0,29436.0,146.24,-146.24
375.0,350.0,400.0,13829.0,82.21,-82.21
450.0,400.0,500.0,9706.3,75.52,-75.52
550.0,500.0,600.0,2576.2,30.77,-30.77
650.0,600.0,700.0,776.18,15.2,-15.2
750.0,700.0,800.0,286.85,9.96,-9.96
850.0,800.0,900.0,106.42,5.76,-5.76
950.0,900.0,1000.0,55.45,4.2,-4.2
1050.0,1000.0,1100.0,21.09,2.25,-2.25
1150.0,1100.0,1200.0,11.39,1.76,-1.76
1250.0,1200.0,1300.0,10.63,2.13,-2.13

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow ll)$+jets events
225.0,200.0,250.0,473.09
275.0,250.0,300.0,180.17
325.0,300.0,350.0,70.23
375.0,350.0,400.0,27.78
450.0,400.0,500.0,17.92
550.0,500.0,600.0,5.77
650.0,600.0,700.0,1.93
750.0,700.0,800.0,0.85
850.0,800.0,900.0,0.2
950.0,900.0,1000.0,0.07
1050.0,1000.0,1100.0,0.06
1150.0,1100.0,1200.0,0.02
1250.0,1200.0,1300.0,0.04

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,23527.0
275.0,250.0,300.0,13071.0
325.0,300.0,350.0,6594.3
375.0,350.0,400.0,3504.4
450.0,400.0,500.0,2854.4
550.0,500.0,600.0,897.96
650.0,600.0,700.0,317.79
750.0,700.0,800.0,131.6
850.0,800.0,900.0,55.15
950.0,900.0,1000.0,25.49
1050.0,1000.0,1100.0,11.63
1150.0,1100.0,1200.0,5.92
1250.0,1200.0,1300.0,6.23

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,712.04
275.0,250.0,300.0,474.56
325.0,300.0,350.0,304.73
375.0,350.0,400.0,171.99
450.0,400.0,500.0,180.69
550.0,500.0,600.0,84.12
650.0,600.0,700.0,40.67
750.0,700.0,800.0,19.66
850.0,800.0,900.0,11.15
950.0,900.0,1000.0,6.69
1050.0,1000.0,1100.0,4.04
1150.0,1100.0,1200.0,2.74
1250.0,1200.0,1300.0,3.29

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,81123.0
275.0,250.0,300.0,48046.0
325.0,300.0,350.0,22166.0
375.0,350.0,400.0,9960.7
450.0,400.0,500.0,6506.0
550.0,500.0,600.0,1533.6
650.0,600.0,700.0,392.37
750.0,700.0,800.0,124.26
850.0,800.0,900.0,35.12
950.0,900.0,1000.0,18.32
1050.0,1000.0,1100.0,4.81
1150.0,1100.0,1200.0,1.97
1250.0,1200.0,1300.0,0.87

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,687.43
275.0,250.0,300.0,481.15
325.0,300.0,350.0,300.77
375.0,350.0,400.0,163.85
450.0,400.0,500.0,147.37
550.0,500.0,600.0,54.72
650.0,600.0,700.0,23.42
750.0,700.0,800.0,10.47
850.0,800.0,900.0,4.8
950.0,900.0,1000.0,4.88
1050.0,1000.0,1100.0,0.54
1150.0,1100.0,1200.0,0.73
1250.0,1200.0,1300.0,0.2

