#: table_doi: 10.17182/hepdata.102093.v1/t14
#: name: Contour exp_p2 DMA
#: description: 2 $\sigma$ up expected exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_exp_p2_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,63.162
28.345,65.657
40.03,68.831
41.596,69.152
58.629,72.647
60.05,72.939
75.661,76.142
80.07,77.047
87.18,79.637
90.137,83.132
90.502,86.627
100.09,89.026
107.43,90.122
117.53,93.617
120.11,95.482
122.43,97.112
140.13,99.807
146.25,100.61
160.15,102.52
172.48,104.1
180.17,105.61
190.63,107.6
200.19,109.5
203.94,111.09
212.17,114.59
220.21,118.0
220.41,118.08
228.64,121.58
236.88,125.07
240.23,126.5
245.11,128.57
253.34,132.06
260.25,135.14
261.07,135.56
266.35,139.05
271.62,142.55
277.02,146.04
280.27,146.81
293.5,149.54
300.29,150.94
317.22,153.03
320.31,154.23
324.62,156.53
327.99,160.02
333.54,163.52
340.33,166.51
341.49,167.01
349.42,170.51
357.36,174.0
360.35,175.32
365.29,177.5
373.12,180.99
380.37,184.47
380.42,184.49
387.62,187.98
394.83,191.48
400.39,194.21
403.9,194.97
420.41,197.75
423.42,198.47
440.43,201.32
444.23,201.96
449.43,205.46
451.16,208.95
452.89,212.45
456.54,215.94
460.45,218.03
463.27,219.44
470.93,222.93
479.07,226.43
480.47,227.03
487.48,229.92
496.16,233.42
500.49,235.16
696.94,324.29
1001.0,436.7
1201.1,495.54
1201.2,495.8
1212.3,495.54
1221.2,495.33
1241.2,494.86
1261.2,494.58
1281.3,494.62
1301.3,494.77
1321.3,495.13
1341.3,495.5
1343.5,495.54
1361.3,495.87
1381.4,496.23
1401.4,496.6
1421.4,496.96
1441.4,497.33
1461.5,497.69
1481.5,498.06
1501.5,497.93
1509.1,495.54
1520.3,492.05
1521.5,491.66
1531.5,488.55
1541.5,485.39
1542.6,485.06
1553.8,481.56
1667.6,401.18
1670.8,397.68
1775.9,201.96
1778.3,198.47
1778.8,194.97
1778.2,191.48
1801.8,50.138
1808.5,2.7475

