#: table_doi: 10.17182/hepdata.102093.v1/t45
#: name: Contour g_exp_p1 BB
#: description: 1 $\sigma$ up expected exclusion plane at 95% CL as a function of sbottom and neutralino masses for the decay channel $\tilde{b}_1 \to  b +  \tilde{\chi}^{0}_{1}$ ($\mathcal{B}=100\%$)
#: data_file: contour_g_exp_p1_bb.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{\tilde{b}_{1}}$ [GeV],$m_{\tilde{\chi}^{0}_{1}}$ [GeV]
449.8,424.84
449.83,424.88
449.85,424.91
450.0,425.07
459.82,437.95
463.96,442.79
465.86,446.59
478.29,461.97
500.0,484.57
500.54,485.16
507.53,495.75
511.6,501.96
521.4,512.12
533.04,524.73
548.72,543.72
395.0,400.0

