#: table_doi: 10.17182/hepdata.102093.v1/t11
#: name: Contour exp DMA
#: description: Expected exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_exp_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,106.64
26.346,107.6
40.03,109.76
51.877,111.09
60.05,112.34
80.07,113.98
83.777,114.59
100.09,116.25
109.2,118.08
120.11,119.84
128.98,121.58
140.13,123.76
146.82,125.07
160.15,127.68
164.67,128.57
180.17,131.6
182.49,132.06
200.14,135.56
200.19,135.57
208.43,139.05
216.69,142.55
220.21,144.17
223.72,146.04
232.05,149.54
240.23,151.41
247.96,153.03
260.01,156.53
260.25,156.6
272.05,160.02
280.27,162.41
284.06,163.52
296.02,167.01
300.29,168.26
305.37,170.51
313.28,174.0
320.31,177.11
321.18,177.5
329.09,180.99
337.0,184.49
340.33,185.96
344.8,187.98
352.12,191.48
359.21,194.97
360.35,195.39
369.37,198.47
380.37,201.27
383.09,201.96
396.22,205.46
400.39,206.7
405.7,208.95
413.76,212.45
420.41,215.31
421.89,215.94
430.02,219.44
438.15,222.93
440.43,223.91
446.28,226.43
454.41,229.92
460.45,232.52
462.57,233.42
471.01,236.91
479.55,240.41
480.47,240.78
488.28,243.9
499.28,247.4
500.49,247.72
692.78,331.28
998.74,457.1
1001.0,460.21
1501.5,614.37
1741.7,611.66
1750.7,610.88
1761.8,609.9
1771.6,607.38
1781.8,604.76
1785.2,603.89
1798.8,600.39
1801.8,599.03
1806.5,596.9
1813.4,593.4
1820.3,589.91
1821.8,589.17
1827.3,586.41
1834.5,582.92
1841.8,579.42
1841.8,579.4
1849.3,575.93
1856.8,572.43
1861.8,570.09
1864.3,568.94
1871.9,565.44
1879.4,561.95
1881.9,560.79
1886.9,558.45
1894.4,554.96
1901.9,551.48
1901.9,551.46
1906.4,547.97
1992.2,453.6
1997.9,450.11
2000.1,446.61
2002.0,443.25
2002.0,443.12
2076.5,299.82
2089.9,264.87
2119.7,121.58
2128.4,2.7475

