#: table_doi: 10.17182/hepdata.102093.v1/t85
#: name: Table yields IM1
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM1.
#: data_file: table_yields_im1.yaml
#: keyword phrases: Inclusive IM1 region
#: keyword cmenergies: 13000.0
IM1,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),1357019.0,0,0
SM prediction (post-fit),1346000.0,16000.0,-16000.0
Fitted $W\rightarrow e\nu$,72000.0,5000.0,-5000.0
Fitted $W\rightarrow \mu\nu$,105800.0,2200.0,-2200.0
Fitted $W\rightarrow 	au\nu$,243900.0,3500.0,-3500.0
Fitted VBF $W$+jets,7900.0,1700.0,-1700.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,2970.0,130.0,-130.0
Fitted $Z\rightarrow \tau\tau$,2550.0,110.0,-110.0
Fitted $Z\rightarrow \nu\nu$,816000.0,11000.0,-11000.0
Fitted VBF $Z$+jets,13600.0,2800.0,-2800.0
Fitted top,46700.0,2100.0,-2100.0
Fitted dibosons,26000.0,5000.0,-5000.0
multijet,7000.0,7000.0,-7000.0
noncollision background,1200.0,1200.0,-1200.0
MC exp. SM events,1200000.0,60000.0,-60000.0
Fit input $W\rightarrow e\nu$,63000.0,5000.0,-5000.0
Fit input $W\rightarrow \mu\nu$,93000.0,5000.0,-5000.0
Fit input $W\rightarrow \tau\nu$,214000.0,12000.0,-12000.0
Fit input VBF $W$+jets,7800.0,1700.0,-1700.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,2600.0,90.0,-90.0
Fit input $Z\rightarrow \tau\tau$,2240.0,80.0,-80.0
Fit input $Z\rightarrow \nu\nu$,720000.0,40000.0,-40000.0
Fit input VBF $Z$+jets,13500.0,2800.0,-2800.0
Fit input top,52000.0,8000.0,-8000.0
Fit input dibosons,26000.0,5000.0,-5000.0
Fit input multijet,7000.0,7000.0,-7000.0
Fit input noncollision background,1200.0,1200.0,-1200.0

IM1,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),622218.0,0,0
SM prediction (post-fit),622300.0,1700.0,-1700.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,521000.0,4000.0,-4000.0
Fitted $W\rightarrow 	au\nu$,33100.0,400.0,-400.0
Fitted VBF $W$+jets,12400.0,2500.0,-2500.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,7890.0,170.0,-170.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,34700.0,2000.0,-2000.0
Fitted dibosons,13600.0,2600.0,-2600.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,560000.0,29000.0,-29000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,459000.0,25000.0,-25000.0
Fit input $W\rightarrow \tau\nu$,29100.0,1600.0,-1600.0
Fit input VBF $W$+jets,12400.0,2600.0,-2600.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,6900.0,400.0,-400.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,39000.0,5000.0,-5000.0
Fit input dibosons,13600.0,2600.0,-2600.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM1,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),360676.0,0,0
SM prediction (post-fit),360600.0,1100.0,-1100.0
Fitted $W\rightarrow e\nu$,295500.0,2300.0,-2300.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow 	au\nu$,23280.0,270.0,-270.0
Fitted VBF $W$+jets,7600.0,1600.0,-1600.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,940.0,40.0,-40.0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,25200.0,1400.0,-1400.0
Fitted dibosons,8200.0,1500.0,-1500.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,323000.0,17000.0,-17000.0
Fit input $W\rightarrow e\nu$,258000.0,14000.0,-14000.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,20400.0,1100.0,-1100.0
Fit input VBF $W$+jets,7600.0,1600.0,-1600.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,825.0,28.0,-28.0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,28000.0,4000.0,-4000.0
Fit input dibosons,8100.0,1500.0,-1500.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM1,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),119181.0,0,0
SM prediction (post-fit),119200.0,500.0,-500.0
Fitted $W\rightarrow e\nu$,9500.0,600.0,-600.0
Fitted $W\rightarrow \mu\nu$,16500.0,1000.0,-1000.0
Fitted $W\rightarrow 	au\nu$,1840.0,120.0,-120.0
Fitted VBF $W$+jets,950.0,320.0,-320.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,308.0,13.0,-13.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,88900.0,2000.0,-2000.0
Fitted dibosons,1230.0,270.0,-270.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,126000.0,18000.0,-18000.0
Fit input $W\rightarrow e\nu$,8300.0,700.0,-700.0
Fit input $W\rightarrow \mu\nu$,14500.0,1200.0,-1200.0
Fit input $W\rightarrow \tau\nu$,1620.0,130.0,-130.0
Fit input VBF $W$+jets,940.0,320.0,-320.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,270.0,9.0,-9.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,99000.0,17000.0,-17000.0
Fit input dibosons,1230.0,280.0,-280.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM1,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),91645.0,0,0
SM prediction (post-fit),91600.0,400.0,-400.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow 	au\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,85300.0,700.0,-700.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,1630.0,350.0,-350.0
Fitted top,2250.0,310.0,-310.0
Fitted dibosons,2400.0,500.0,-500.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,82000.0,4000.0,-4000.0
