#: table_doi: 10.17182/hepdata.102093.v1/t66
#: name: Contour exp_p2 DMV
#: description: 2 $\sigma$ up expected exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_exp_p2_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,132.0
567.52,278.76
1073.6,531.81
1148.0,569.01
1201.2,595.62
1500.0,638.37
1732.6,600.0
1750.0,545.1
1758.8,500.0
1759.3,498.14
1770.0,450.0
1770.5,445.9
1781.0,400.0
1779.0,355.8
1779.9,350.0
1783.0,343.41
1787.3,300.0
1784.9,293.02
1780.7,250.0
1784.6,243.08
1801.0,200.0
1794.7,191.07
1787.2,150.0
1791.1,141.78
1798.5,100.0
1798.4,90.325
1802.6,1.0

