#: table_doi: 10.17182/hepdata.102093.v1/t10
#: name: Contour obs_m1 DMA
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ down observed exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_obs_m1_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,81.37
28.362,83.132
40.03,85.572
45.076,86.627
52.364,90.122
54.877,93.617
60.05,94.642
74.937,97.112
80.07,98.228
90.543,100.61
100.09,102.29
111.92,104.1
120.11,105.69
129.94,107.6
140.13,109.57
147.97,111.09
160.15,113.45
166.0,114.59
180.17,117.33
183.98,118.08
200.19,121.26
200.97,121.58
209.48,125.07
217.99,128.57
220.21,129.48
226.5,132.06
235.02,135.56
240.23,137.7
243.1,139.05
248.63,142.55
253.69,146.04
260.25,147.85
267.48,149.54
280.27,151.99
285.77,153.03
300.29,156.48
300.49,156.53
308.06,160.02
315.68,163.52
320.31,165.64
323.31,167.01
330.93,170.51
338.55,174.0
340.33,174.82
346.17,177.5
353.8,180.99
360.35,184.0
361.47,184.49
370.18,187.98
378.96,191.48
380.37,192.04
387.85,194.97
399.58,198.47
400.39,198.69
416.06,201.96
420.41,203.39
425.61,205.46
427.48,208.95
433.1,212.45
440.11,215.94
440.43,216.09
447.89,219.44
455.66,222.93
460.45,225.08
463.44,226.43
471.23,229.92
480.47,233.34
480.72,233.42
491.69,236.91
500.49,239.71
700.69,329.08
1000.7,453.6
1201.2,521.73
1501.5,605.2
1521.5,604.8
1541.5,604.41
1561.5,604.01
1567.6,603.89
1581.6,603.61
1601.6,603.21
1621.6,602.81
1641.6,602.41
1661.7,602.01
1681.7,601.61
1701.7,601.22
1721.7,600.82
1741.7,600.43
1742.2,600.39
1759.9,596.9
1761.8,596.43
1769.6,593.4
1778.7,589.91
1781.8,588.74
1787.8,586.41
1797.0,582.92
1801.8,581.05
1806.0,579.42
1815.2,575.93
1821.8,573.37
1824.3,572.43
1833.4,568.94
1841.8,565.68
1842.5,565.44
1851.6,561.95
1860.7,558.45
1861.8,558.0
1869.8,554.96
1878.9,551.46
1881.9,549.5
1884.2,547.97
1886.9,544.47
1889.6,540.98
1892.3,537.48
1895.0,533.99
1897.7,530.49
1990.9,450.11
1993.3,446.61
2068.7,303.32
2082.5,268.37
2101.4,180.99
2102.1,178.93
2107.2,111.09
2123.4,2.7475

