#: table_doi: 10.17182/hepdata.102093.v1/t7
#: name: Histogram SR
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the signal region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_sr.yaml
#: keyword reactions: P P --> DM DM j
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,11034.0
275.0,250.0,300.0,6819.3
325.0,300.0,350.0,3884.9
375.0,350.0,400.0,2272.7
450.0,400.0,500.0,2171.4
550.0,500.0,600.0,853.93
650.0,600.0,700.0,369.88
750.0,700.0,800.0,174.24
850.0,800.0,900.0,85.6
950.0,900.0,1000.0,45.39
1050.0,1000.0,1100.0,24.43
1150.0,1100.0,1200.0,13.7
1250.0,1200.0,1300.0,19.7

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,9128.5
275.0,250.0,300.0,4616.7
325.0,300.0,350.0,2341.2
375.0,350.0,400.0,1190.7
450.0,400.0,500.0,1011.7
550.0,500.0,600.0,358.18
650.0,600.0,700.0,140.04
750.0,700.0,800.0,61.35
850.0,800.0,900.0,28.57
950.0,900.0,1000.0,15.95
1050.0,1000.0,1100.0,8.43
1150.0,1100.0,1200.0,5.0
1250.0,1200.0,1300.0,8.05

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of top events
225.0,200.0,250.0,66730.0
275.0,250.0,300.0,31198.0
325.0,300.0,350.0,11631.0
375.0,350.0,400.0,4441.3
450.0,400.0,500.0,2549.9
550.0,500.0,600.0,498.33
650.0,600.0,700.0,115.25
750.0,700.0,800.0,29.07
850.0,800.0,900.0,8.21
950.0,900.0,1000.0,2.42
1050.0,1000.0,1100.0,1.56
1150.0,1100.0,1200.0,0.34
1250.0,1200.0,1300.0,0.12

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of diboson events
225.0,200.0,250.0,20409.0
275.0,250.0,300.0,11994.0
325.0,300.0,350.0,6128.1
375.0,350.0,400.0,3219.7
450.0,400.0,500.0,2745.0
550.0,500.0,600.0,909.57
650.0,600.0,700.0,352.28
750.0,700.0,800.0,156.8
850.0,800.0,900.0,71.08
950.0,900.0,1000.0,33.46
1050.0,1000.0,1100.0,16.7
1150.0,1100.0,1200.0,8.88
1250.0,1200.0,1300.0,12.23

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of multijet and NCB events
225.0,200.0,250.0,22118.0
275.0,250.0,300.0,6202.8
325.0,300.0,350.0,1373.6
375.0,350.0,400.0,474.3
450.0,400.0,500.0,103.2
550.0,500.0,600.0,19.5
650.0,600.0,700.0,8.6
750.0,700.0,800.0,0.1
850.0,800.0,900.0,0.1
950.0,900.0,1000.0,0.0
1050.0,1000.0,1100.0,0.0
1150.0,1100.0,1200.0,0.0
1250.0,1200.0,1300.0,0.0

