#: table_doi: 10.17182/hepdata.102093.v1/t7
#: name: Histogram SR
#: description: The measured $p_{\mathrm{T}}^{\mathrm{recoil}}$ distributions in the signal region, compared with the background predictions as estimated after the simultaneous, binned background-only fit to the data in the control regions. The last bin of the distribution contains overflows.
#: data_file: histogram_sr.yaml
#: keyword reactions: P P --> DM DM j
#: keyword observables: $p_{T}^{recoil}$
$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of data events
225.0,200.0,250.0,1791624.0
275.0,250.0,300.0,752328.0
325.0,300.0,350.0,313912.0
375.0,350.0,400.0,141036.0
450.0,400.0,500.0,102888.0
550.0,500.0,600.0,29458.0
650.0,600.0,700.0,10203.0
750.0,700.0,800.0,3986.0
850.0,800.0,900.0,1663.0
950.0,900.0,1000.0,738.0
1050.0,1000.0,1100.0,413.0
1150.0,1100.0,1200.0,187.0
1250.0,1200.0,1300.0,207.0

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of background events,stat+syst +,stat+syst -
225.0,200.0,250.0,1783400.0,26219.0,-26219.0
275.0,250.0,300.0,752990.0,9428.7,-9428.7
325.0,300.0,350.0,313990.0,3515.6,-3515.6
375.0,350.0,400.0,140100.0,1594.5,-1594.5
450.0,400.0,500.0,101560.0,1233.8,-1233.8
550.0,500.0,600.0,29244.0,416.82,-416.82
650.0,600.0,700.0,10003.0,176.34,-176.34
750.0,700.0,800.0,3872.7,78.67,-78.67
850.0,800.0,900.0,1644.8,39.72,-39.72
950.0,900.0,1000.0,754.21,20.35,-20.35
1050.0,1000.0,1100.0,359.27,10.7,-10.7
1150.0,1100.0,1200.0,182.42,6.44,-6.44
1250.0,1200.0,1300.0,218.13,9.16,-9.16

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $Z( \rightarrow \nu \nu)$+jets events
225.0,200.0,250.0,986960.0
275.0,250.0,300.0,436620.0
325.0,300.0,350.0,192830.0
375.0,350.0,400.0,89086.0
450.0,400.0,500.0,67420.0
550.0,500.0,600.0,20231.0
650.0,600.0,700.0,6999.5
750.0,700.0,800.0,2744.5
850.0,800.0,900.0,1179.0
950.0,900.0,1000.0,533.83
1050.0,1000.0,1100.0,251.03
1150.0,1100.0,1200.0,125.91
1250.0,1200.0,1300.0,144.35

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of $W( \rightarrow l \nu)$+jets events
225.0,200.0,250.0,655690.0
275.0,250.0,300.0,251860.0
325.0,300.0,350.0,94673.0
375.0,350.0,400.0,39038.0
450.0,400.0,500.0,25347.0
550.0,500.0,600.0,6331.3
650.0,600.0,700.0,2004.3
750.0,700.0,800.0,701.87
850.0,800.0,900.0,269.8
950.0,900.0,1000.0,122.06
1050.0,1000.0,1100.0,56.7
1150.0,1100.0,1200.0,26.37
1250.0,1200.0,1300.0,31.94

$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV],$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] LOW,$p_{\mathrm{T}}^{\mathrm{recoil}}$ [GeV] HIGH,Number of VBF $Z( \rightarrow \nu \nu / ll)$+jets events
