#: table_doi: 10.17182/hepdata.102093.v1/t62
#: name: Contour obs_m1 DMV
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ down observed exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_obs_m1_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,136.0
812.6,411.3
1212.3,601.15
1408.2,699.08
1422.8,706.38
1500.0,719.08
1577.7,746.55
1779.7,779.05
2000.0,751.71
2007.9,750.0
2010.8,743.52
2073.4,600.0
2071.7,571.33
2076.8,500.0
2082.8,466.57
2091.9,450.0
2094.3,418.86
2091.2,400.0
2094.0,368.8
2099.6,350.0
2105.5,328.9
2114.1,300.0
2119.5,276.1
2113.7,250.0
2109.8,228.03
2119.4,200.0
2125.6,174.87
2113.8,150.0
2108.6,128.28
2117.6,100.0
2116.0,76.807
2115.8,1.0

