#: table_doi: 10.17182/hepdata.102093.v1/t42
#: name: Contour g_obs_p1 BB
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ up observed exclusion plane at 95% CL as a function of sbottom and neutralino masses for the decay channel $\tilde{b}_1 \to  b +  \tilde{\chi}^{0}_{1}$ ($\mathcal{B}=100\%$)
#: data_file: contour_g_obs_p1_bb.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{\tilde{b}_{1}}$ [GeV],$m_{\tilde{\chi}^{0}_{1}}$ [GeV]
406.6,381.6
429.93,408.95
435.0,414.5
436.32,416.79
450.0,432.55
452.28,435.68
458.88,441.78
462.16,446.22
471.73,458.04
490.88,477.7
500.0,488.01
505.46,495.55
507.77,499.66
515.29,507.23
525.52,517.97
541.9,536.9
395.0,400.0

