#: table_doi: 10.17182/hepdata.102093.v1/t22
#: name: Contour exp_p2 DMP
#: description: 2 $\sigma$ up expected exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_exp_p2_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
328.64,1.4858
328.64,4.0035
328.64,4.0035
328.66,5.0045
328.68,6.0055
328.7,7.0065
328.72,8.0075
328.75,9.0085
328.77,10.009
328.79,11.011
328.81,12.011
328.83,13.012
328.85,14.014
328.87,15.014
328.9,16.015
328.92,17.017
328.94,18.017
328.96,19.018
328.98,20.02
329.0,21.02
329.02,22.021
329.05,23.023
329.07,24.023
344.44,99.099
350.25,104.25
350.39,101.1
351.23,59.059
351.51,40.04
351.52,39.039
351.52,38.038
351.53,37.037
351.54,36.036
351.54,35.035
351.55,34.034
351.56,33.033
351.56,32.032
351.57,31.031
351.57,30.03
351.58,29.029
351.59,28.028
351.59,27.027
351.6,26.026
351.61,25.024
351.65,1.0005

