#: table_doi: 10.17182/hepdata.102093.v1/t63
#: name: Contour exp DMV
#: description: Expected exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_exp_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,150.0
300.0,235.0
400.0,270.0
821.4,405.7
1237.1,613.57
1477.5,733.77
1481.0,735.49
1500.0,738.22
1521.6,745.43
1783.5,782.84
2000.0,750.69
2012.5,750.0
2017.1,739.73
2078.4,600.0
2076.5,569.39
2081.6,500.0
2087.4,467.49
2097.1,450.0
2099.3,419.87
2096.1,400.0
2098.8,369.77
2104.7,350.0
2110.9,327.81
2119.3,300.0
2124.9,275.01
2119.4,250.0
2115.3,226.95
2124.5,200.0
2131.0,173.79
2119.7,150.0
2114.2,127.17
2122.8,100.0
2121.1,75.773
2120.9,1.0

