#: table_doi: 10.17182/hepdata.102093.v1/t13
#: name: Contour exp_m1 DMA
#: description: 1 $\sigma$ down expected exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_exp_m1_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,128.78
40.03,131.96
40.694,132.06
60.05,135.13
62.718,135.56
80.07,138.31
84.742,139.05
100.09,141.49
106.77,142.55
120.11,144.66
128.79,146.04
140.13,147.84
150.81,149.54
160.15,151.02
172.84,153.03
180.17,154.23
192.73,156.53
200.19,157.96
210.81,160.02
220.21,161.83
225.15,163.52
239.88,167.01
240.23,167.08
251.88,170.51
260.25,172.88
264.1,174.0
276.14,177.5
280.27,178.69
288.13,180.99
300.08,184.49
300.29,184.55
308.06,187.98
315.97,191.48
320.31,193.4
323.73,194.97
331.25,198.47
340.33,200.89
344.55,201.96
356.55,205.46
360.35,206.58
368.38,208.95
380.21,212.45
380.37,212.5
391.94,215.94
400.39,218.46
402.66,219.44
410.79,222.93
418.92,226.43
420.41,227.07
427.05,229.92
435.18,233.42
440.43,235.68
443.33,236.91
451.68,240.41
460.22,243.9
460.45,243.99
469.65,247.4
480.47,250.38
482.37,250.89
495.22,254.39
500.49,255.98
694.46,338.27
1000.3,471.08
1501.5,650.81
1761.8,684.09
1780.5,680.78
1781.8,680.55
1800.2,677.28
1801.8,677.01
1820.0,673.79
1821.8,673.46
1839.8,670.29
1841.8,669.92
1859.5,666.8
1861.8,666.38
1879.2,663.3
1881.9,662.84
1899.0,659.81
1901.9,659.29
1918.8,656.31
1921.9,655.75
1938.5,652.82
1941.9,652.17
1957.0,649.32
1962.0,647.99
1970.1,645.83
1982.0,642.64
1983.0,642.33
1994.8,638.84
2002.0,636.68
2004.3,635.34
2010.4,631.85
2016.5,628.35
2022.0,625.15
2022.5,624.86
2028.6,621.36
2034.7,617.87
2040.7,614.37
2042.0,613.61
2046.8,610.88
2052.8,607.38
2058.9,603.89
2062.1,602.07
2065.0,600.39
2068.9,596.9
2072.5,593.4
2076.2,589.91
2079.8,586.41
2082.1,584.26
2083.5,582.92
2087.1,579.42
2090.8,575.93
2094.4,572.43
2098.3,568.94
2102.1,566.03
2102.9,565.44
2107.5,561.95
2112.2,558.45
2116.8,554.96
2121.5,551.46
2185.7,450.11
2187.2,446.61
2188.4,443.12
2228.6,352.25
2230.5,348.75
2231.7,345.26
2232.9,341.76
2234.2,338.27
2235.4,334.77
2236.6,331.28
2237.8,327.78
2239.5,324.29
2242.2,321.9
2242.9,320.79
2245.2,317.3
2247.4,313.8
2249.7,310.31
2251.9,306.81
2254.2,303.32
2266.5,250.89
2287.7,121.58
2286.7,2.7475

