#: table_doi: 10.17182/hepdata.102093.v1/t61
#: name: Contour obs_p1 DMV
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ up observed exclusion contour at 95% CL in the $m_{Z_{V}}-m_\chi$ parameter plane    for the vector mediator model.
#: data_file: contour_obs_p1_dmv.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{V}}$ [GeV],$m_{\chi}$ [GeV]
1.0,122.0
704.7,357.35
1140.7,565.35
1270.5,630.26
1307.0,648.51
1500.0,680.23
1694.1,748.88
1759.6,759.43
1835.6,750.0
1906.4,656.18
1948.4,600.0
1959.5,516.21
1963.1,500.0
1977.6,454.48
1978.8,450.0
1984.7,403.06
1985.5,400.0
1985.3,397.06
1992.9,350.0
2000.0,336.11
2010.8,300.0
2011.3,297.75
2000.7,250.0
2000.7,249.87
2017.7,200.0
2018.6,196.28
2000.0,157.12
1995.2,150.95
1995.0,150.0
2000.0,140.45
2012.8,100.0
2012.6,97.473
2012.3,1.0

