#: table_doi: 10.17182/hepdata.102093.v1/t72
#: name: Table yields EM1
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM1.
#: data_file: table_yields_em1.yaml
#: keyword phrases: Exclusive EM1 region
#: keyword cmenergies: 13000.0
EM1,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),752328.0,0,0
SM prediction (post-fit),753000.0,9000.0,-9000.0
Fitted $W\rightarrow e\nu$,44100.0,2700.0,-2700.0
Fitted $W\rightarrow \mu\nu$,64400.0,1500.0,-1500.0
Fitted $W\rightarrow\tau\nu$,143400.0,2000.0,-2000.0
Fitted VBF $W$+jets,4600.0,600.0,-600.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,2030.0,50.0,-50.0
Fitted $Z\rightarrow \tau\tau$,1640.0,40.0,-40.0
Fitted $Z\rightarrow \nu\nu$,437000.0,4000.0,-4000.0
Fitted VBF $Z$+jets,6800.0,800.0,-800.0
Fitted $t\bar{t}$,23400.0,1800.0,-1800.0
Fitted single-$t$,7800.0,1900.0,-1900.0
Fitted dibosons,12000.0,1800.0,-1800.0
multijet,5000.0,5000.0,-5000.0
noncollision background,800.0,800.0,-800.0
MC exp. SM events,666000.0,35000.0,-35000.0
Fit input $W\rightarrow e\nu$,38800.0,3200.0,-3200.0
Fit input $W\rightarrow \mu\nu$,56500.0,3200.0,-3200.0
Fit input $W\rightarrow \tau\nu$,126000.0,7000.0,-7000.0
Fit input VBF $W$+jets,3800.0,700.0,-700.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,1800.0,60.0,-60.0
Fit input $Z\rightarrow \tau\tau$,1450.0,50.0,-50.0
Fit input $Z\rightarrow \nu\nu$,381000.0,21000.0,-21000.0
Fit input VBF $Z$+jets,5600.0,1100.0,-1100.0
Fit input $t\bar{t}$,27000.0,4000.0,-4000.0
Fit input single-$t$,5100.0,1700.0,-1700.0
Fit input dibosons,12200.0,2200.0,-2200.0
Fit input multijet,5000.0,5000.0,-5000.0
Fit input noncollision background,800.0,800.0,-800.0

EM1,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),330096.0,0,0
SM prediction (post-fit),330800.0,800.0,-800.0
