#: table_doi: 10.17182/hepdata.102093.v1/t72
#: name: Table yields EM1
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM1.
#: data_file: table_yields_em1.yaml
#: keyword phrases: Exclusive EM1 region
#: keyword cmenergies: 13000.0
EM1,SR,stat+syst +,stat+syst -
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,276300.0,1600.0,-1600.0
Fitted $W\rightarrow\tau\nu$,17220.0,210.0,-210.0
Fitted VBF $W$+jets,6300.0,700.0,-700.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,4860.0,120.0,-120.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,14700.0,1200.0,-1200.0
Fitted single-$t$,5500.0,1500.0,-1500.0
Fitted dibosons,5900.0,900.0,-900.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,296000.0,16000.0,-16000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,244000.0,13000.0,-13000.0
Fit input $W\rightarrow \tau\nu$,15200.0,800.0,-800.0
Fit input VBF $W$+jets,5270.0,1000.0,-1000.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,4280.0,250.0,-250.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,16900.0,2100.0,-2100.0
Fit input single-$t$,4100.0,1600.0,-1600.0
Fit input dibosons,6000.0,1100.0,-1100.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM1,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),174890.0,0,0
SM prediction (post-fit),175000.0,500.0,-500.0
Fitted $W\rightarrow e\nu$,143500.0,900.0,-900.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,11260.0,120.0,-120.0
Fitted VBF $W$+jets,3400.0,400.0,-400.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,468.0,12.0,-12.0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,9700.0,800.0,-800.0
Fitted single-$t$,3520.0,1000.0,-1000.0
Fitted dibosons,3100.0,500.0,-500.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,156000.0,8000.0,-8000.0
Fit input $W\rightarrow e\nu$,126000.0,7000.0,-7000.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,9900.0,500.0,-500.0
Fit input VBF $W$+jets,2800.0,500.0,-500.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,415.0,14.0,-14.0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,11100.0,1400.0,-1400.0
Fit input single-$t$,2600.0,1000.0,-1000.0
Fit input dibosons,3200.0,600.0,-600.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM1,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),62421.0,0,0
SM prediction (post-fit),62250.0,300.0,-300.0
Fitted $W\rightarrow e\nu$,4200.0,230.0,-230.0
Fitted $W\rightarrow \mu\nu$,8000.0,400.0,-400.0
Fitted $W\rightarrow\tau\nu$,840.0,50.0,-50.0
Fitted VBF $W$+jets,470.0,70.0,-70.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,180.0,5.0,-5.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,39200.0,2600.0,-2600.0
Fitted single-$t$,8800.0,2600.0,-2600.0
Fitted dibosons,480.0,80.0,-80.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,65000.0,9000.0,-9000.0
Fit input $W\rightarrow e\nu$,3710.0,310.0,-310.0
Fit input $W\rightarrow \mu\nu$,7100.0,600.0,-600.0
Fit input $W\rightarrow \tau\nu$,740.0,60.0,-60.0
Fit input VBF $W$+jets,366.0,100.0,-100.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,160.0,5.0,-5.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,45000.0,8000.0,-8000.0
Fit input single-$t$,7500.0,3200.0,-3200.0
Fit input dibosons,490.0,100.0,-100.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM1,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),47931.0,0,0
SM prediction (post-fit),48140.0,160.0,-160.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,45160.0,220.0,-220.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,810.0,90.0,-90.0
Fitted $t\bar{t}$,1060.0,100.0,-100.0
Fitted single-$t$,80.0,40.0,-40.0
Fitted dibosons,1020.0,170.0,-170.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,42900.0,2300.0,-2300.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,39800.0,2200.0,-2200.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,680.0,130.0,-130.0
Fit input $t\bar{t}$,1200.0,400.0,-400.0
Fit input single-$t$,180.0,120.0,-120.0
Fit input dibosons,1050.0,200.0,-200.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM1,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),36162.0,0,0
SM prediction (post-fit),36260.0,130.0,-130.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,34400.0,170.0,-170.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,610.0,70.0,-70.0
Fitted $t\bar{t}$,480.0,50.0,-50.0
Fitted single-$t$,35.0,17.0,-17.0
Fitted dibosons,740.0,120.0,-120.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,31800.0,1700.0,-1700.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,29900.0,1700.0,-1700.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,500.0,100.0,-100.0
Fit input $t\bar{t}$,540.0,170.0,-170.0
Fit input single-$t$,70.0,50.0,-50.0
Fit input dibosons,750.0,150.0,-150.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

