#: table_doi: 10.17182/hepdata.102093.v1/t74
#: name: Table yields EM3
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM3.
#: data_file: table_yields_em3.yaml
#: keyword phrases: Exclusive EM3 region
#: keyword cmenergies: 13000.0
EM3,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),141036.0,0,0
SM prediction (post-fit),140100.0,1600.0,-1600.0
Fitted $W\rightarrow e\nu$,6500.0,400.0,-400.0
Fitted $W\rightarrow \mu\nu$,9310.0,190.0,-190.0
Fitted $W\rightarrow\tau\nu$,23300.0,400.0,-400.0
Fitted VBF $W$+jets,1190.0,160.0,-160.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,188.0,5.0,-5.0
Fitted $Z\rightarrow \tau\tau$,194.0,5.0,-5.0
Fitted $Z\rightarrow \nu\nu$,89100.0,1100.0,-1100.0
Fitted VBF $Z$+jets,2270.0,300.0,-300.0
Fitted $t\bar{t}$,3430.0,250.0,-250.0
Fitted single-$t$,1010.0,290.0,-290.0
Fitted dibosons,3200.0,500.0,-500.0
multijet,400.0,400.0,-400.0
noncollision background,90.0,90.0,-90.0
MC exp. SM events,124000.0,7000.0,-7000.0
Fit input $W\rightarrow e\nu$,5700.0,500.0,-500.0
Fit input $W\rightarrow \mu\nu$,8200.0,500.0,-500.0
Fit input $W\rightarrow \tau\nu$,20600.0,1200.0,-1200.0
Fit input VBF $W$+jets,940.0,210.0,-210.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,167.0,6.0,-6.0
Fit input $Z\rightarrow \tau\tau$,172.0,6.0,-6.0
Fit input $Z\rightarrow \nu\nu$,78000.0,4000.0,-4000.0
Fit input VBF $Z$+jets,1800.0,400.0,-400.0
Fit input $t\bar{t}$,3900.0,700.0,-700.0
Fit input single-$t$,830.0,350.0,-350.0
Fit input dibosons,3300.0,600.0,-600.0
Fit input multijet,400.0,400.0,-400.0
Fit input noncollision background,90.0,90.0,-90.0

EM3,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),68951.0,0,0
SM prediction (post-fit),68650.0,200.0,-200.0
Fitted $W\rightarrow e\nu$,-,0,0
