#: table_doi: 10.17182/hepdata.102093.v1/t86
#: name: Table yields IM2
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the inclusive SR IM2.
#: data_file: table_yields_im2.yaml
#: keyword phrases: Inclusive IM2 region
#: keyword cmenergies: 13000.0
IM2,SR,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),604691.0,0,0
SM prediction (post-fit),597000.0,8000.0,-8000.0
Fitted $W\rightarrow e\nu$,28100.0,1800.0,-1800.0
Fitted $W\rightarrow \mu\nu$,41200.0,900.0,-900.0
Fitted $W\rightarrow\tau\nu$,100100.0,1600.0,-1600.0
Fitted VBF $W$+jets,4090.0,1000.0,-1000.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,382000.0,7000.0,-7000.0
Fitted VBF $Z$+jets,8000.0,1800.0,-1800.0
Fitted top,17600.0,900.0,-900.0
Fitted dibosons,14000.0,2600.0,-2600.0
multijet,1600.0,1600.0,-1600.0
noncollision background,400.0,400.0,-400.0
MC exp. SM events,532000.0,27000.0,-27000.0
Fit input $W\rightarrow e\nu$,24700.0,2000.0,-2000.0
Fit input $W\rightarrow \mu\nu$,36100.0,2000.0,-2000.0
Fit input $W\rightarrow \tau\nu$,88000.0,5000.0,-5000.0
Fit input VBF $W$+jets,4100.0,900.0,-900.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,335000.0,18000.0,-18000.0
Fit input VBF $Z$+jets,7900.0,1800.0,-1800.0
Fit input top,20600.0,3300.0,-3300.0
Fit input dibosons,13900.0,2600.0,-2600.0
Fit input multijet,1600.0,1600.0,-1600.0
Fit input noncollision background,400.0,400.0,-400.0

IM2,W$\rightarrow \mu\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),292122.0,0,0
SM prediction (post-fit),292200.0,600.0,-600.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,243200.0,2200.0,-2200.0
Fitted $W\rightarrow\tau\nu$,15870.0,210.0,-210.0
Fitted VBF $W$+jets,7100.0,1600.0,-1600.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,3040.0,60.0,-60.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,15350.0,1000.0,-1000.0
Fitted dibosons,7600.0,1500.0,-1500.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,264000.0,14000.0,-14000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,214000.0,11000.0,-11000.0
Fit input $W\rightarrow \tau\nu$,14000.0,700.0,-700.0
Fit input VBF $W$+jets,7100.0,1600.0,-1600.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,2660.0,150.0,-150.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,18000.0,2800.0,-2800.0
Fit input dibosons,7600.0,1500.0,-1500.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM2,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),185786.0,0,0
SM prediction (post-fit),185700.0,500.0,-500.0
Fitted $W\rightarrow e\nu$,151100.0,1500.0,-1500.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,11970.0,160.0,-160.0
Fitted VBF $W$+jets,4800.0,1100.0,-1100.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,469.0,20.0,-20.0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,12400.0,800.0,-800.0
Fitted dibosons,5000.0,900.0,-900.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,167000.0,9000.0,-9000.0
Fit input $W\rightarrow e\nu$,132000.0,7000.0,-7000.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,10500.0,600.0,-600.0
Fit input VBF $W$+jets,4800.0,1100.0,-1100.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,410.0,14.0,-14.0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,14400.0,2100.0,-2100.0
Fit input dibosons,4900.0,900.0,-900.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM2,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),56760.0,0,0
SM prediction (post-fit),56760.0,310.0,-310.0
Fitted $W\rightarrow e\nu$,5240.0,320.0,-320.0
Fitted $W\rightarrow \mu\nu$,8400.0,500.0,-500.0
Fitted $W\rightarrow\tau\nu$,1000.0,60.0,-60.0
Fitted VBF $W$+jets,590.0,230.0,-230.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,127.0,5.0,-5.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted top,40700.0,1100.0,-1100.0
Fitted dibosons,740.0,180.0,-180.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,62000.0,9000.0,-9000.0
Fit input $W\rightarrow e\nu$,4600.0,400.0,-400.0
Fit input $W\rightarrow \mu\nu$,7400.0,600.0,-600.0
Fit input $W\rightarrow \tau\nu$,880.0,70.0,-70.0
Fit input VBF $W$+jets,580.0,230.0,-230.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,111.0,4.0,-4.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input top,47000.0,9000.0,-9000.0
Fit input dibosons,730.0,180.0,-180.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM2,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),43714.0,0,0
SM prediction (post-fit),43690.0,210.0,-210.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,40400.0,400.0,-400.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,960.0,230.0,-230.0
Fitted top,980.0,150.0,-150.0
Fitted dibosons,1380.0,290.0,-290.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,38800.0,2100.0,-2100.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,35400.0,1900.0,-1900.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,950.0,220.0,-220.0
Fit input top,1100.0,400.0,-400.0
Fit input dibosons,1370.0,290.0,-290.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

IM2,Z$\rightarrow ee$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),38294.0,0,0
SM prediction (post-fit),38290.0,200.0,-200.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,35800.0,400.0,-400.0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,830.0,200.0,-200.0
Fitted top,530.0,100.0,-100.0
Fitted dibosons,1160.0,240.0,-240.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,33500.0,2000.0,-2000.0
Fit input $W\rightarrow e\nu$,-,0,0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,-,0,0
Fit input VBF $W$+jets,-,0,0
Fit input $Z\rightarrow ee$,31000.0,1900.0,-1900.0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,810.0,190.0,-190.0
Fit input top,610.0,240.0,-240.0
Fit input dibosons,1140.0,240.0,-240.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

