#: table_doi: 10.17182/hepdata.102093.v1/t9
#: name: Contour obs_p1 DMA
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ up observed exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_obs_p1_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,66.026
30.991,69.152
40.03,71.49
45.563,72.647
60.05,75.677
62.277,76.142
78.991,79.637
80.07,80.038
83.819,83.132
84.033,86.627
87.928,90.122
100.09,92.638
102.51,93.617
105.3,97.112
120.11,99.666
126.91,100.61
140.13,102.45
153.74,104.1
160.15,105.35
171.76,107.6
180.17,109.23
189.69,111.09
200.19,113.15
203.69,114.59
212.2,118.08
220.21,121.37
220.71,121.58
229.23,125.07
237.74,128.57
240.23,129.59
246.25,132.06
254.44,135.56
260.25,139.03
260.29,139.05
265.35,142.55
270.5,146.04
280.27,148.22
287.18,149.54
300.29,152.03
309.01,153.03
319.43,156.53
320.31,157.38
323.24,160.02
330.0,163.52
337.62,167.01
340.33,168.25
345.25,170.51
352.87,174.0
360.35,177.43
360.49,177.5
368.2,180.99
376.5,184.49
380.37,186.03
385.36,187.98
394.31,191.48
400.39,193.88
405.39,194.97
420.41,198.36
420.78,198.47
437.55,201.96
440.43,203.52
443.4,205.46
445.27,208.95
447.13,212.45
452.47,215.94
458.94,219.44
460.45,220.12
466.72,222.93
474.5,226.43
480.47,229.11
482.59,229.92
493.56,233.42
500.49,235.62
700.69,326.44
1000.1,443.12
1201.2,509.69
1501.5,568.94
1521.5,566.57
1530.7,565.44
1541.5,564.11
1559.2,561.95
1561.5,561.65
1581.6,559.2
1587.7,558.45
1601.6,556.74
1616.2,554.96
1621.6,554.29
1641.6,551.83
1644.7,551.46
1661.7,548.08
1662.2,547.97
1672.0,544.47
1681.7,541.0
1681.7,540.98
1691.5,537.48
1701.2,533.99
1701.7,533.83
1711.0,530.49
1720.8,527.0
1721.7,526.65
1730.5,523.5
1740.2,520.01
1741.7,519.48
1746.6,516.51
1752.3,513.02
1758.1,509.52
1761.8,507.29
1763.4,506.03
1767.8,502.53
1771.2,499.04
1774.8,495.54
1780.0,492.05
1781.8,490.82
1785.1,488.55
1790.3,485.06
1795.4,481.56
1800.6,478.07
1801.8,477.27
1806.0,474.57
1812.9,471.08
1819.1,467.58
1821.7,464.09
1821.8,463.86
1824.2,460.59
1826.7,457.1
1829.2,453.6
1831.7,450.11
1834.5,446.61
1837.2,443.12
1840.0,439.62
1841.8,437.31
1842.8,436.13
1845.3,432.63
1847.6,429.14
1850.0,425.64
1853.0,422.15
1856.3,418.65
1859.6,415.16
1861.8,412.87
1863.0,411.66
1866.5,408.17
1870.0,404.67
1873.4,401.18
1947.9,303.32
2003.0,118.08
2023.1,2.7475

