#: table_doi: 10.17182/hepdata.102093.v1/t18
#: name: Contour obs_m1 DMP
#: description: 1 $\sigma_{\mathrm{theory}}^{\mathrm{PDF+scale}}$ down observed exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_obs_m1_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
1.0,3.7983
10.992,7.4411
12.473,8.0075
12.976,8.1997
14.96,8.9582
15.091,9.0085
16.944,9.7168
17.71,10.009
18.928,10.475
20.328,11.011
20.912,11.234
100.27,45.695
200.68,97.097
201.45,97.456
202.84,98.098
203.44,98.374
352.23,171.4
353.94,172.17
354.22,172.31
356.15,173.17
356.2,173.2
358.19,173.85
359.24,174.17
360.17,174.46
362.15,175.03
362.52,175.18
364.14,175.67
365.79,176.18
366.12,176.28
368.11,176.67
369.45,177.18
370.09,177.35
372.07,177.7
374.06,177.6
375.78,177.18
376.04,177.11
378.03,176.62
379.82,176.18
380.01,176.09
381.34,175.18
381.99,174.63
382.53,174.17
383.72,173.17
383.98,172.96
384.91,172.17
385.96,171.27
386.08,171.17
386.68,170.17
387.29,169.17
387.9,168.17
387.95,168.09
388.49,167.17
389.06,166.17
389.62,165.16
389.93,164.62
390.19,164.16
390.75,163.16
391.32,162.16
391.88,161.16
391.91,161.11
392.45,160.16
393.01,159.16
393.58,158.16
393.9,157.59
394.14,157.16
394.71,156.16
395.27,155.16
395.84,154.15
395.88,154.08
396.41,153.15
397.13,152.15
397.87,151.16
397.87,151.15
398.61,150.15
399.07,149.15
399.49,148.15
399.85,147.28
399.9,147.15
400.32,146.15
400.74,145.15
401.15,144.14
401.57,143.14
401.83,142.5
401.98,142.14
402.35,141.14
402.45,140.14
402.54,139.14
402.63,138.14
402.72,137.14
402.81,136.14
402.91,135.13
403.0,134.13
403.09,133.13
403.18,132.13
403.27,131.13
403.37,130.13
403.46,129.13
403.55,128.13
403.64,127.13
403.73,126.13
403.82,125.22
403.83,125.12
406.83,100.1
408.5,74.074
409.77,50.474
410.22,50.05
410.34,49.049
410.42,48.048
410.49,47.047
410.56,46.046
410.63,45.045
410.71,44.044
410.78,43.043
410.86,42.042
410.93,41.041
411.0,40.04
411.02,39.039
411.02,38.038
411.03,37.037
411.03,36.036
411.04,35.035
411.04,34.034
411.05,33.033
411.05,32.032
411.06,31.031
411.06,30.03
411.06,29.029
411.07,28.028
411.07,27.027
411.08,26.026
411.08,25.024
411.34,1.0005

