#: table_doi: 10.17182/hepdata.102093.v1/t19
#: name: Contour exp DMP
#: description: Expected exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_exp_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
1.0,2.209
10.992,6.1198
12.976,6.8816
13.301,7.0065
14.96,7.6435
15.908,8.0075
16.944,8.4053
18.515,9.0085
18.928,9.1671
20.912,9.9289
100.27,45.339
198.15,95.095
199.47,95.775
200.17,96.096
201.45,96.67
202.4,97.097
203.44,97.561
204.67,98.098
205.42,98.432
352.04,171.17
352.23,171.27
354.22,172.11
354.38,172.17
356.2,172.69
357.67,173.17
358.19,173.33
360.17,173.69
361.58,174.17
362.15,174.31
364.14,174.65
366.12,174.23
366.39,174.17
368.11,173.69
369.29,173.17
370.09,172.56
370.61,172.17
371.93,171.17
372.07,171.02
372.88,170.17
373.55,169.17
374.06,168.45
374.26,168.17
375.08,167.17
375.9,166.17
376.04,165.99
376.72,165.16
377.54,164.16
378.03,163.58
378.37,163.16
379.19,162.16
380.01,161.16
380.01,161.16
380.83,160.16
381.65,159.16
381.99,158.74
382.47,158.16
383.29,157.16
383.98,156.32
384.12,156.16
384.94,155.16
385.76,154.15
385.96,153.91
386.58,153.15
387.39,152.15
387.95,151.46
388.19,151.15
388.99,150.15
389.49,149.15
389.93,148.18
389.94,148.15
390.39,147.15
390.85,146.15
391.3,145.15
391.75,144.14
391.91,143.77
392.2,143.14
392.39,142.14
392.52,141.14
392.65,140.14
392.78,139.14
392.92,138.14
393.05,137.14
393.18,136.14
393.31,135.13
393.44,134.13
393.58,133.13
393.71,132.13
393.84,131.13
393.9,130.69
393.97,130.13
394.1,129.13
394.24,128.13
394.37,127.13
394.5,126.13
394.63,125.12
397.69,100.1
399.35,75.075
401.8,40.04
401.81,39.039
401.81,38.038
401.82,37.037
401.82,36.036
401.83,35.035
401.83,34.61
401.84,34.034
401.84,33.033
401.85,32.032
401.86,31.031
401.86,30.03
401.87,29.029
401.88,28.028
401.88,27.027
401.89,26.026
401.89,25.024
401.83,24.996
402.14,1.0005

