#: table_doi: 10.17182/hepdata.102093.v1/t71
#: name: Table yields EM0
#: description: Expected and observed backgrounds, before and after a binned likelihood fit in the control regions, in the exclusive SR bin EM0.
#: data_file: table_yields_em0.yaml
#: keyword phrases: Exclusive EM0 region
#: keyword cmenergies: 13000.0
EM0,SR,stat+syst +,stat+syst -
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM0,W$\rightarrow e\nu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),338998.0,0,0
SM prediction (post-fit),339300.0,900.0,-900.0
Fitted $W\rightarrow e\nu$,285900.0,1500.0,-1500.0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,22050.0,220.0,-220.0
Fitted VBF $W$+jets,4900.0,500.0,-500.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,-,0,0
Fitted $Z\rightarrow \tau\tau$,966.0,24.0,-24.0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,14300.0,1200.0,-1200.0
Fitted single-$t$,6800.0,1600.0,-1600.0
Fitted dibosons,4400.0,600.0,-600.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,300000.0,15000.0,-15000.0
Fit input $W\rightarrow e\nu$,251000.0,13000.0,-13000.0
Fit input $W\rightarrow \mu\nu$,-,0,0
Fit input $W\rightarrow \tau\nu$,19400.0,1000.0,-1000.0
Fit input VBF $W$+jets,4100.0,700.0,-700.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,-,0,0
Fit input $Z\rightarrow \tau\tau$,855.0,28.0,-28.0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,16300.0,2100.0,-2100.0
Fit input single-$t$,4200.0,1300.0,-1300.0
Fit input dibosons,4500.0,800.0,-800.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM0,Top,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),106425.0,0,0
SM prediction (post-fit),106500.0,600.0,-600.0
Fitted $W\rightarrow e\nu$,6700.0,400.0,-400.0
Fitted $W\rightarrow \mu\nu$,15300.0,900.0,-900.0
Fitted $W\rightarrow\tau\nu$,1540.0,90.0,-90.0
Fitted VBF $W$+jets,712.0,100.0,-100.0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,473.0,12.0,-12.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,-,0,0
Fitted $t\bar{t}$,63000.0,4000.0,-4000.0
Fitted single-$t$,18000.0,5000.0,-5000.0
Fitted dibosons,690.0,110.0,-110.0
multijet,-,0,0
noncollision background,-,0,0
MC exp. SM events,107000.0,13000.0,-13000.0
Fit input $W\rightarrow e\nu$,5900.0,500.0,-500.0
Fit input $W\rightarrow \mu\nu$,13500.0,1100.0,-1100.0
Fit input $W\rightarrow \tau\nu$,1350.0,120.0,-120.0
Fit input VBF $W$+jets,560.0,130.0,-130.0
Fit input $Z\rightarrow ee$,-,0,0
Fit input $Z\rightarrow \mu\mu$,419.0,13.0,-13.0
Fit input $Z\rightarrow \tau\tau$,-,0,0
Fit input $Z\rightarrow \nu\nu$,-,0,0
Fit input VBF $Z$+jets,-,0,0
Fit input $t\bar{t}$,72000.0,12000.0,-12000.0
Fit input single-$t$,12000.0,4000.0,-4000.0
Fit input dibosons,700.0,140.0,-140.0
Fit input multijet,-,0,0
Fit input noncollision background,-,0,0

EM0,Z$\rightarrow\mu\mu$,stat+syst +,stat+syst -
Observed events (139 fb$^{-1}$),105155.0,0,0
SM prediction (post-fit),105400.0,330.0,-330.0
Fitted $W\rightarrow e\nu$,-,0,0
Fitted $W\rightarrow \mu\nu$,-,0,0
Fitted $W\rightarrow\tau\nu$,-,0,0
Fitted VBF $W$+jets,-,0,0
Fitted $Z\rightarrow ee$,-,0,0
Fitted $Z\rightarrow \mu\mu$,100100.0,400.0,-400.0
Fitted $Z\rightarrow \tau\tau$,-,0,0
Fitted $Z\rightarrow \nu\nu$,-,0,0
Fitted VBF $Z$+jets,1310.0,140.0,-140.0
Fitted $t\bar{t}$,2150.0,170.0,-170.0
Fitted single-$t$,200.0,90.0,-90.0
Fitted dibosons,1640.0,270.0,-270.0
multijet,-,0,0
