,Cuts,MA5 Cumulative Efficiencies [%],MA5 Cumulative Errors [%],Relative Differences
0,Total events ($p_{T}^{miss}>150$ GeV),100.0,0.0,0.0
1,Lepton veto,93.5,1.137,1.781
2,$N(j) <= 4$,91.09,1.116,0.942
3,"min $\Delta \Phi(jets, p_{T}^{miss})$ cut",87.515,1.083,1.161
4,Lead.Jet $p_{T}>150$ GeV $|\eta|<2.4$,58.706,0.816,9.122
5,$p_{T}^{miss}>200$ GeV,47.158,0.704,8.807
6,EM0,11.455,0.302,12.495
7,EM1,9.146,0.267,10.015
8,EM2,6.55,0.223,12.651
9,EM3,5.127,0.196,4.502
10,EM4,6.478,0.222,2.616
11,EM5,3.618,0.164,0.275
12,EM6,1.916,0.118,7.058
13,EM7,1.158,0.092,5.472
14,EM8,0.737,0.073,4.143
15,EM9,0.393,0.053,15.756
16,EM10,0.193,0.037,31.549
17,EM11,0.136,0.031,26.478
18,EM12,0.25,0.042,26.478
