Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
EM6,2.4656186,3.4205837,0.001182,1.81e-05,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,0.9100979582536399,0.6560150695017923,Excluded,Excluded
EM7,1.5385137,2.2540894,0.0009322,1.61e-05,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,0.5997345308817241,0.40934480776343907,Excluded,Excluded
EM8,3.0658581,3.5284292,0.0002641,8.6e-06,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,0.9387918824388143,0.8157178545595548,Excluded,Excluded
EM9,3.5691062,3.0160026,0.0001374,6.2e-06,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,0.8024530457616545,0.9496146126786511,Excluded,Excluded
EM10,1.1157353,2.3677462,0.0002813,8.9e-06,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,0.6299746392064064,0.29685822875245316,Excluded,Excluded
EM11,-1.0,-1.0,0.0,0.0,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,-0.26606510410888057,-0.26606510410888057,Excluded,Excluded
EM12,-1.0,-1.0,0.0,0.0,2.940407,pptt1jmatch_run_02_361_300,360.9541,300.0,3.758478600000001,1.278217131165856,-0.26606510410888057,-0.26606510410888057,Excluded,Excluded
IM0,11.1828418,14.1849728,0.0504655,0.0001191,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,4.028162489883428,3.175635547856706,Included,Included
IM1,6.3845516,8.0277499,0.0355566,0.0001007,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.279671697738147,1.8130462167573012,Included,Included
IM2,5.0430042,6.9330692,0.0224513,8.06e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.9688109159579146,1.432081727697397,Included,Included
IM3,4.0180829,5.9112104,0.0141672,6.43e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.6786296553976339,1.1410307969728375,Included,Included
IM4,3.8855447,6.1653387,0.0084861,4.99e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.7507954677760578,1.1033934032855781,Included,Included
IM5,4.0942942,6.1674421,0.0035498,3.24e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.751392778542929,1.1626728194351756,Included,Included
IM6,3.9148175,5.7247973,0.0018597,2.34e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.6256931945647384,1.1117061153786079,Included,Included
IM7,5.3132328,6.2478568,0.0006757,1.41e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.7742284570276443,1.508819605560209,Included,Included
IM8,7.5108695,8.0155873,0.0002676,8.9e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.2762178364026173,2.1328911385934766,Included,Included
IM9,9.2167159,8.6586308,0.0001375,6.4e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.458825427025798,2.617307046813102,Included,Included
IM10,6.786846,10.5003094,0.0001375,6.4e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.9818141390620334,1.9272873390222771,Included,Included
IM11,4.1154687,3.6671906,0.0001375,6.4e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.0413865311164432,1.1686858254412242,Included,Included
IM12,2.5414403,2.0120826,0.0001375,6.4e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,0.5713790058072666,0.721702792883613,Excluded,Excluded
EM0,24.6086087,27.513746,0.0149088,6.59e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,7.813186613468882,6.988203353732126,Included,Included
EM1,9.7100924,9.4237975,0.0131053,6.19e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.676112822842862,2.7574131110764024,Included,Included
EM2,6.0511338,5.9773342,0.0082841,4.93e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.6974070908290613,1.7183642533615409,Included,Included
EM3,4.0653251,4.9505224,0.0056811,4.09e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.4058193073875813,1.154446350225049,Included,Included
EM4,3.5641127,4.996315,0.0049363,3.81e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.4188232120291353,1.0121150946343123,Included,Included
EM5,3.6306429,4.4383894,0.0016902,2.23e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.2603868860838572,1.0310079370713765,Included,Included
EM6,2.4525729,3.3976232,0.001184,1.87e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,0.9648364168169359,0.6964667679507018,Excluded,Excluded
EM7,3.5154617,5.1486423,0.0004081,1.1e-05,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,1.4620801942381685,0.9982994789078359,Included,Excluded
EM8,6.2624599,7.1658301,0.0001301,6.2e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,2.0349089437589623,1.7783753567422504,Included,Included
EM9,-1.0,-1.0,0.0,0.0,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,-0.28397393119311637,-0.28397393119311637,Excluded,Excluded
EM10,-1.0,-1.0,0.0,0.0,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,-0.28397393119311637,-0.28397393119311637,Excluded,Excluded
EM11,-1.0,-1.0,0.0,0.0,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,-0.28397393119311637,-0.28397393119311637,Excluded,Excluded
EM12,1.8550146,1.4915756,0.0001375,6.4e-06,2.721607,pptt1jmatch_run_03_365_300,365.371,300.0,3.521450000000001,1.2938862958538837,0.4235685868037313,0.5267757883826263,Excluded,Excluded
IM0,11.0145027,14.0203809,0.0512926,0.0001249,2.555161,pptt1jmatch_run_04_370_300,369.788,300.0,3.3005999999999993,1.2917385636364986,4.247827940374478,3.3371213415742598,Included,Included
