Signal Region,Sigma_95_exp (pb),Sigma_95_obs (pb),Efficiency,Stat,Sigma_theoretical (pb),SAF File,mT1 (GeV),mn1 (GeV),NNLO Cross Section (pb),k_factor,Signal Strength Obs,Signal Strength Exp,Status Obs,Status Exp
IM0,5.3692287,6.7993889,0.1056784,3.76e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,1.2032938705957035,0.9501971544143528,Included,Excluded
IM1,2.9178038,3.6449213,0.0780404,3.28e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.6450449479502082,0.5163663205293129,Excluded,Excluded
IM2,2.0534066,2.814823,0.0551724,2.79e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.4981417172228242,0.3633931831169068,Excluded,Excluded
IM3,1.4690859,2.1672634,0.0386939,2.36e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.38354252176786124,0.2599854317567528,Excluded,Excluded
IM4,1.2319086,1.9551962,0.0267601,1.97e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.34601280171987386,0.21801195509116034,Excluded,Excluded
IM5,1.1037357,1.6806788,0.0130113,1.39e-05,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.2974312145140193,0.1953290835545027,Excluded,Excluded
IM6,1.1845288,1.7376408,0.0061495,9.6e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.3075118300612302,0.2096271099574969,Excluded,Excluded
IM7,1.202066,1.4101869,0.0030013,6.7e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.24956202360543844,0.2127306837606384,Excluded,Excluded
IM8,1.2463547,1.3290982,0.0016088,4.9e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.23521168460885983,0.22056849419190402,Excluded,Excluded
IM9,1.539365,1.4397674,0.0008279,3.5e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.25479691086702105,0.2724227862756247,Excluded,Excluded
IM10,2.0040229,3.0961206,0.0004656,2.6e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.5479232024226606,0.35465370602693813,Excluded,Excluded
IM11,2.5461271,2.2725759,0.0002221,1.8e-06,5.650647,pptt1jmatch_run_01_320_310,320.0,310.0,7.13,1.2618024095293865,0.40217976808673417,0.45059036602357216,Excluded,Excluded
