# Mediator Mass (GeV),DM Mass (GeV),xsecUL
350.0,50.0,11.963398355736
100.0,20.0,46.725680000000004
200.0,20.0,15.984939999999998
500.0,175.0,6.370014217988
500.0,200.0,6.5120712548256
500.0,50.0,6.040737763424
100.0,30.0,46.56014
350.0,25.0,11.975007204216
500.0,125.0,6.1410633003708
500.0,100.0,6.1033478517484
350.0,125.0,11.646076078779998
100.0,10.0,46.53472
100.0,40.0,46.767219999999995
50.0,1.0,133.35359999999997
500.0,25.0,6.0513287885802
50.0,20.0,131.3451
350.0,170.0,10.703014941889998
500.0,75.0,6.1130208695652
50.0,10.0,131.27669999999998
500.0,150.0,6.200475557400001
200.0,95.0,15.89903
350.0,75.0,12.040007982984998
500.0,1.0,6.0434565411456
350.0,1.0,12.11826293327
200.0,75.0,16.01831
350.0,150.0,11.308784582550002
200.0,50.0,15.97997
350.0,100.0,11.760081688431999
200.0,1.0,15.971449999999999
100.0,1.0,46.579980000000006
