Mediator Mass (GeV),DM Mass (GeV),Upper limit on signal strength
20.0,100.0,1.46
20.0,200.0,3.93
20.0,300.0,8.69
20.0,500.0,34.5
55.0,0.0,0.01
55.0,20.0,0.03
55.0,100.0,1.34
55.0,300.0,9.79
55.0,500.0,34.9
200.0,0.0,0.01
200,50.0,0.01
200.0,100,0.15
200.0,110.0,0.71
200.0,150.0,1.93
200.0,300.0,8.16
200.0,500.0,33.2
300.0,0.0,0.02
300.0,50.0,0.02
300.0,100.0,0.04
300.0,150.0,0.48
300.0,160.0,1.08
300.0,200.0,2.63
400.0,0.0,0.04
400.0,50.0,0.04
400.0,100.0,0.05
400.0,150.0,0.08
400.0,200.0,0.95
400.0,210.0,1.45
400.0,250.0,3.5
500.0,0.0,0.05
500.0,50.0,0.05
500.0,100.0,0.05
500.0,150.0,0.07
500.0,200.0,0.14
500.0,250.0,1.42
500.0,260.0,2.07
500.0,300.0,4.66
500.0,350.0,7.98
700.0,0.0,0.07
700.0,50.0,0.08
700.0,100.0,0.08
700.0,150.0,0.09
700.0,200.0,0.11
700.0,250.0,0.15
700.0,300.0,0.34
700.0,350.0,2.62
700.0,360.0,3.18
700.0,500.0,19.6
1000.0,0.0,0.13
1000.0,50.0,0.14
1000.0,100.0,0.14
1000.0,150.0,0.15
1000.0,200.0,0.16
1000.0,250.0,0.18
1000.0,300.0,0.21
1000.0,350.0,0.27
1000.0,400.0,0.42
1000.0,450.0,0.94
1000.0,500.0,5.97
1000.0,510.0,6.45
1000.0,600.0,26.5
1200.0,0.0,0.19
1200.0,50.0,0.19
1200.0,100.0,0.2
1200.0,150.0,0.2
1200.0,200.0,0.22
1200.0,250.0,0.24
1200.0,300.0,0.26
1200.0,350.0,0.3
1200.0,400.0,0.35
1200.0,450.0,0.46
1200.0,500.0,0.72
1200.0,550.0,1.66
1200.0,600.0,9.56
1200.0,610.0,10.3
1200.0,750.0,66.9
1500.0,0.0,0.34
1500.0,50.0,0.34
1500.0,100.0,0.35
1500.0,150.0,0.34
1500.0,200.0,0.37
1500.0,250.0,0.39
1500.0,300.0,0.42
1500.0,350.0,0.44
1500.0,400.0,0.46
1500.0,450.0,0.53
1500.0,500.0,0.66
1500.0,550.0,0.79
1500.0,600.0,1.06
1500.0,650.0,1.67
1500.0,700.0,3.86
1500.0,750.0,18.5
1500.0,760.0,20.3
1750.0,0.0,0.55
1750.0,50.0,0.55
1750.0,100.0,0.57
1750.0,150.0,0.59
1750.0,200.0,0.59
1750.0,250.0,0.63
1750.0,300.0,0.65
1750.0,350.0,0.68
1750.0,400.0,0.72
1750.0,450.0,0.78
1750.0,500.0,0.87
1750.0,550.0,0.96
1750.0,600.0,1.12
1750.0,650.0,1.4
1750.0,700.0,1.75
1750.0,750.0,2.63
1750.0,800.0,4.92
2000.0,0.0,0.84
2000.0,50.0,0.87
2000.0,100.0,0.88
2000.0,150.0,0.93
2000.0,200.0,0.9
2000.0,250.0,0.95
2000.0,300.0,0.96
2000.0,350.0,1.03
2000.0,400.0,1.08
2000.0,450.0,1.13
2000.0,500.0,1.22
2000.0,550.0,1.27
2000.0,600.0,1.4
2000.0,650.0,1.63
2000.0,700.0,1.88
2000.0,750.0,2.28
2000.0,800.0,2.84
2250.0,0.0,1.41
2250.0,50.0,1.42
2250.0,100.0,1.43
2250.0,150.0,1.42
2250.0,200.0,1.47
2250.0,250.0,1.49
2250.0,300.0,1.53
2250.0,350.0,1.62
2250.0,400.0,1.69
2250.0,450.0,1.73
2250.0,500.0,1.87
2250.0,550.0,1.89
2250.0,600.0,2.05
2250.0,650.0,2.3
2250.0,700.0,2.51
2250.0,750.0,2.77
2250.0,800.0,3.18
