Label,sigma (pb),Mediator Mass (GeV),Mediator Width (GeV),DM Mass (GeV),gAx,gAq,"BR_[-52, 52]","BR_[-5, 5]","BR_[-4, 4]","BR_[-3, 3]","BR_[-2, 2]","BR_[-1, 1]","BR_[-6, 6]"
Run 44,3.6735,1500.0,82.91401,100.0,1.0,0.25,0.4671398,0.08997741,0.08997741,0.08997741,0.08997741,0.08997741,0.0829732
Run 45,20.981,1000.0,28.98538,510.0,1.0,0.25,,0.1715897,0.1715897,0.1715897,0.1715897,0.1715897,0.1420515
Run 46,83.052,700.0,37.71,50.0,1.0,0.25,0.4773953,0.09232337,0.09232337,0.09232337,0.09232337,0.09232337,0.06098785
Run 47,277.16,500.0,23.59519,100.0,1.0,0.25,0.4327473,0.1053942,0.1053942,0.1053942,0.1053942,0.1053942,0.04028165
Run 48,1.7685,1750.0,96.11217,150.0,1.0,0.25,0.461846,0.09055863,0.09055863,0.09055863,0.09055863,0.09055863,0.08536084
Run 49,597.17,400.0,17.10315,100.0,1.0,0.25,0.4029439,0.1163199,0.1163199,0.1163199,0.1163199,0.1163199,0.01545665
Run 50,9.8572,1200.0,35.0895,610.0,1.0,0.25,,0.1700882,0.1700882,0.1700882,0.1700882,0.1700882,0.1495588
Run 51,3.6737,1500.0,60.65757,500.0,1.0,0.25,0.2716229,0.1229919,0.1229919,0.1229919,0.1229919,0.1229919,0.1134177
Run 52,228130.0,55.0,1.367738,500.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 53,5639.1,200.0,4.973592,100.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 54,0.89668,2000.0,111.5028,100.0,1.0,0.25,0.4686685,0.08921014,0.08921014,0.08921014,0.08921014,0.08921014,0.08528078
Run 55,20.957,1000.0,49.40688,200.0,1.0,0.25,0.4133332,0.100666,0.100666,0.100666,0.100666,0.100666,0.0833369
Run 56,2613800.0,20.0,0.4973592,500.0,1.0,0.25,,0.2,0.2,0.2,0.2,0.2,
Run 57,82.639,700.0,26.0723,250.0,1.0,0.25,0.244124,0.1335331,0.1335331,0.1335331,0.1335331,0.1335331,0.08821055
Run 58,9.8561,1200.0,37.12138,550.0,1.0,0.25,0.05473613,0.1607783,0.1607783,0.1607783,0.1607783,0.1607783,0.1413726
Run 59,83.026,700.0,19.70742,350.0,1.0,0.25,,0.17666,0.17666,0.17666,0.17666,0.17666,0.1166998
Run 60,598.01,400.0,10.21154,250.0,1.0,0.25,,0.1948224,0.1948224,0.1948224,0.1948224,0.1948224,0.02588811
Run 61,3.6778,1500.0,81.60703,150.0,1.0,0.25,0.4586057,0.09141845,0.09141845,0.09141845,0.09141845,0.09141845,0.08430206
Run 62,0.89608,2000.0,90.149,550.0,1.0,0.25,0.3428106,0.1103416,0.1103416,0.1103416,0.1103416,0.1103416,0.1054815
Run 63,1.7627,1750.0,98.14334,0.0,1.0,0.25,0.4729836,0.08868443,0.08868443,0.08868443,0.08868443,0.08868443,0.08359422
Run 64,83.017,700.0,19.70742,500.0,1.0,0.25,,0.17666,0.17666,0.17666,0.17666,0.17666,0.1166998
Run 65,0.47478,2250.0,102.8791,600.0,1.0,0.25,0.3511471,0.1087741,0.1087741,0.1087741,0.1087741,0.1087741,0.1049825
Run 66,20.987,1000.0,28.98538,600.0,1.0,0.25,,0.1715897,0.1715897,0.1715897,0.1715897,0.1715897,0.1420515
Run 67,228480.0,55.0,1.839438,20.0,1.0,0.25,0.256437,0.1487126,0.1487126,0.1487126,0.1487126,0.1487126,
Run 68,0.89606,2000.0,86.40741,600.0,1.0,0.25,0.3143532,0.1151196,0.1151196,0.1151196,0.1151196,0.1151196,0.110049
Run 69,598.46,400.0,10.21154,200.0,1.0,0.25,,0.1948224,0.1948224,0.1948224,0.1948224,0.1948224,0.02588811
Run 70,9.8714,1200.0,48.27028,400.0,1.0,0.25,0.2730622,0.1236436,0.1236436,0.1236436,0.1236436,0.1236436,0.10872
Run 71,0.89694,2000.0,102.8533,350.0,1.0,0.25,0.4239858,0.09671234,0.09671234,0.09671234,0.09671234,0.09671234,0.09245253
Run 72,0.47349,2250.0,126.2598,50.0,1.0,0.25,0.4713009,0.08863141,0.08863141,0.08863141,0.08863141,0.08863141,0.085542
Run 73,0.47554,2250.0,126.4365,0.0,1.0,0.25,0.47204,0.08850751,0.08850751,0.08850751,0.08850751,0.08850751,0.08542242
