#: table_doi: 10.17182/hepdata.102093.v1/t8
#: name: Contour obs DMA
#: description: Observed exclusion contour at 95% CL in the $m_{Z_{A}}-m_\chi$ parameter plane    for the axial-vector mediator model.
#: data_file: contour_obs_dma.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{A}}$ [GeV],$m_{\chi}$ [GeV]
20.01,72.91
32.964,76.142
40.03,77.744
49.084,79.637
60.05,81.93
64.262,83.132
70.374,86.627
70.792,90.122
80.07,92.493
85.811,93.617
92.345,97.112
100.09,98.772
110.76,100.61
120.11,102.06
135.16,104.1
140.13,105.06
153.19,107.6
160.15,108.95
171.22,111.09
180.17,112.83
189.15,114.59
200.19,116.75
203.43,118.08
211.94,121.58
220.21,124.97
220.46,125.07
228.97,128.57
237.48,132.06
240.23,133.19
245.87,135.56
252.66,139.05
257.93,142.55
260.25,144.15
263.01,146.04
278.41,149.54
280.27,149.89
296.77,153.03
300.29,153.87
311.01,156.53
316.02,160.02
320.31,161.99
323.64,163.52
331.27,167.01
338.89,170.51
340.33,171.17
346.51,174.0
354.13,177.5
360.35,180.35
361.77,180.99
369.82,184.49
378.56,187.98
380.37,188.7
387.48,191.48
396.34,194.97
400.39,196.18
411.24,198.47
420.41,200.38
428.0,201.96
435.5,205.46
437.37,208.95
439.64,212.45
440.43,212.84
446.96,215.94
454.03,219.44
460.45,222.32
461.81,222.93
469.59,226.43
477.38,229.92
480.47,231.06
487.86,233.42
498.83,236.91
500.49,237.44
700.69,327.73
1000.1,450.11
1201.2,515.03
1501.5,588.03
1514.7,586.41
1521.5,585.58
1541.5,583.12
1543.2,582.92
1561.5,580.67
1571.7,579.42
1581.6,578.21
1600.2,575.93
1601.6,575.76
1621.6,573.33
1629.7,572.43
1641.6,571.02
1661.0,568.94
1661.7,568.87
1681.7,567.35
1701.7,565.86
1707.3,565.44
1721.7,564.37
1741.7,562.88
1745.4,561.95
1759.0,558.45
1761.8,557.76
1769.0,554.96
1778.2,551.46
1781.8,549.1
1783.5,547.97
1786.2,544.47
1790.0,540.98
1794.1,537.48
1798.5,533.99
1801.8,531.44
1803.0,530.49
1807.5,527.0
1811.9,523.5
1900.2,453.6
1901.9,451.25
1902.7,450.11
1905.5,446.61
1908.2,443.12
2017.4,299.82
2025.8,264.87
2049.1,121.58
2067.6,2.7475

