#: table_doi: 10.17182/hepdata.102093.v1/t16
#: name: Contour obs DMP
#: description: Observed exclusion contour at 95% CL in the $m_{Z_{P}}-m_\chi$ parameter plane    for the pseudo-scalar mediator model.
#: data_file: contour_obs_dmp.yaml
#: Limit,Observed
#: SQRT(S) [TeV],13
#: LUMINOSITY [fb$^{-1}$],139
$m_{Z_{P}}$ [GeV],$m_{\chi}$ [GeV]
1.0,2.509
10.992,6.0949
12.976,6.8534
13.376,7.0065
14.96,7.612
15.995,8.0075
16.944,8.3705
18.613,9.0085
18.928,9.129
20.912,9.8876
100.27,45.287
198.99,95.095
199.47,95.341
201.09,96.096
201.45,96.266
203.25,97.097
203.44,97.184
205.42,97.974
352.23,170.59
353.95,171.17
354.22,171.22
355.55,171.17
356.2,170.76
356.87,170.17
357.47,169.17
358.03,168.17
358.19,167.89
358.6,167.17
359.16,166.17
359.73,165.16
360.17,164.38
360.29,164.16
360.86,163.16
361.42,162.16
361.99,161.16
362.15,160.87
362.55,160.16
363.12,159.16
363.68,158.16
364.14,157.35
364.25,157.16
364.81,156.16
365.38,155.16
365.94,154.15
366.12,153.84
366.51,153.15
367.07,152.15
367.65,151.15
368.11,150.52
368.38,150.15
368.85,149.15
369.26,148.15
369.68,147.15
369.92,146.15
370.01,145.15
370.09,144.27
370.1,144.14
370.19,143.14
370.29,142.14
370.38,141.14
370.47,140.14
370.56,139.14
370.65,138.14
370.75,137.14
370.84,136.14
370.93,135.13
371.02,134.13
371.11,133.13
371.2,132.13
371.3,131.13
371.39,130.13
371.48,129.13
371.57,128.13
371.67,127.13
371.76,126.13
371.85,125.12
373.53,100.1
373.65,59.059
373.65,58.058
373.66,57.057
373.67,56.056
373.68,55.055
375.72,40.04
375.72,39.039
375.72,38.038
375.73,37.037
375.73,36.036
375.74,35.035
375.9,1.0005

